input_n,data_in,output_n,data_out
6,470,0,0
10,782,1,0
14,1090,2,0
18,1394,3,0
22,1693,4,0
26,1985,5,0
30,2269,6,0
34,2545,7,6
38,2810,8,99
42,3064,9,354
46,3306,10,664
50,3535,11,974
54,3750,12,1279
58,3950,13,1580
62,4135,14,1875
66,4303,15,2161
70,4455,16,2440
74,4588,17,2709
78,4704,18,2967
82,4801,19,3214
86,4879,20,3448
90,4938,21,3668
94,4977,22,3874
98,4997,23,4064
102,4997,24,4238
106,4977,25,4396
110,4938,26,4536
114,4879,27,4659
118,4801,28,4763
122,4704,29,4848
126,4588,30,4914
130,4455,31,4960
134,4303,32,4988
138,4135,33,4995
142,3950,34,4983
146,3750,35,4951
150,3535,36,4899
154,3306,37,4828
158,3064,38,4738
162,2810,39,4630
166,2545,40,4503
170,2269,41,4358
174,1985,42,4196
178,1693,43,4018
182,1394,44,3824
186,1090,45,3614
190,782,46,3390
194,470,47,3154
198,157,48,2904
202,-157,49,2643
206,-470,50,2371
210,-782,51,2091
214,-1090,52,1802
218,-1394,53,1506
222,-1693,54,1203
226,-1985,55,896
230,-2269,56,586
234,-2545,57,274
238,-2810,58,-40
242,-3064,59,-353
246,-3306,60,-665
250,-3535,61,-975
254,-3750,62,-1280
258,-3950,63,-1581
262,-4135,64,-1876
266,-4303,65,-2162
270,-4455,66,-2441
274,-4588,67,-2710
278,-4704,68,-2968
282,-4801,69,-3215
286,-4879,70,-3449
290,-4938,71,-3669
294,-4977,72,-3875
298,-4997,73,-4065
302,-4997,74,-4239
306,-4977,75,-4397
310,-4938,76,-4537
314,-4879,77,-4660
318,-4801,78,-4764
322,-4704,79,-4849
326,-4588,80,-4915
330,-4455,81,-4961
334,-4303,82,-4989
338,-4135,83,-4996
342,-3950,84,-4984
346,-3750,85,-4952
350,-3535,86,-4900
354,-3306,87,-4829
358,-3064,88,-4739
362,-2810,89,-4631
366,-2545,90,-4504
370,-2269,91,-4359
374,-1985,92,-4197
378,-1693,93,-4019
382,-1394,94,-3825
386,-1090,95,-3615
390,-782,96,-3391
394,-470,97,-3155
398,-157,98,-2905
402,157,99,-2644
406,470,100,-2372
410,782,101,-2091
414,1090,102,-1803
418,1394,103,-1507
422,1693,104,-1204
426,1985,105,-897
430,2269,106,-587
434,2545,107,-275
438,2810,108,39
442,3064,109,352
446,3306,110,664
450,3535,111,974
454,3750,112,1279
458,3950,113,1580
462,4135,114,1875
466,4303,115,2161
470,4455,116,2440
474,4588,117,2709
478,4704,118,2967
482,4801,119,3214
486,4879,120,3448
490,4938,121,3668
494,4977,122,3874
498,4997,123,4064
502,4997,124,4238
506,4977,125,4396
510,4938,126,4536
514,4879,127,4659
518,4801,128,4763
522,4704,129,4848
526,4588,130,4914
530,4455,131,4960
534,4303,132,4988
538,4135,133,4995
542,3950,134,4983
546,3750,135,4951
550,3535,136,4899
554,3306,137,4828
558,3064,138,4738
562,2810,139,4630
566,2545,140,4503
570,2269,141,4358
574,1985,142,4196
578,1693,143,4018
582,1394,144,3824
586,1090,145,3614
590,782,146,3390
594,470,147,3154
598,157,148,2904
602,-157,149,2643
606,-470,150,2371
610,-782,151,2091
614,-1090,152,1802
618,-1394,153,1506
622,-1693,154,1203
626,-1985,155,896
630,-2269,156,586
634,-2545,157,274
638,-2810,158,-40
642,-3064,159,-353
646,-3306,160,-665
650,-3535,161,-975
654,-3750,162,-1280
658,-3950,163,-1581
662,-4135,164,-1876
666,-4303,165,-2162
670,-4455,166,-2441
674,-4588,167,-2710
678,-4704,168,-2968
682,-4801,169,-3215
686,-4879,170,-3449
690,-4938,171,-3669
694,-4977,172,-3875
698,-4997,173,-4065
702,-4997,174,-4239
706,-4977,175,-4397
710,-4938,176,-4537
714,-4879,177,-4660
718,-4801,178,-4764
722,-4704,179,-4849
726,-4588,180,-4915
730,-4455,181,-4961
734,-4303,182,-4989
738,-4135,183,-4996
742,-3950,184,-4984
746,-3750,185,-4952
750,-3535,186,-4900
754,-3306,187,-4829
758,-3064,188,-4739
762,-2810,189,-4631
766,-2545,190,-4504
770,-2269,191,-4359
774,-1985,192,-4197
778,-1693,193,-4019
782,-1394,194,-3825
786,-1090,195,-3615
790,-782,196,-3391
794,-470,197,-3155
798,-157,198,-2905
802,157,199,-2644
806,470,200,-2372
810,782,201,-2091
814,1090,202,-1803
818,1394,203,-1507
822,1693,204,-1204
826,1985,205,-897
830,2269,206,-587
834,2545,207,-275
838,2810,208,39
842,3064,209,352
846,3306,210,664
850,3535,211,974
854,3750,212,1279
858,3950,213,1580
862,4135,214,1875
866,4303,215,2161
870,4455,216,2440
874,4588,217,2709
878,4704,218,2967
882,4801,219,3214
886,4879,220,3448
890,4938,221,3668
894,4977,222,3874
898,4997,223,4064
902,4997,224,4238
906,4977,225,4396
910,4938,226,4536
914,4879,227,4659
918,4801,228,4763
922,4704,229,4848
926,4588,230,4914
930,4455,231,4960
934,4303,232,4988
938,4135,233,4995
942,3950,234,4983
946,3750,235,4951
950,3535,236,4899
954,3306,237,4828
958,3064,238,4738
962,2810,239,4630
966,2545,240,4503
970,2269,241,4358
974,1985,242,4196
978,1693,243,4018
982,1394,244,3824
986,1090,245,3614
990,782,246,3390
994,470,247,3154
998,157,248,2904
1002,-157,249,2643
1006,-470,250,2371
1010,-782,251,2091
1014,-1090,252,1802
1018,-1394,253,1506
1022,-1693,254,1203
1026,-1985,255,896
1030,-2269,256,586
1034,-2545,257,274
1038,-2810,258,-40
1042,-3064,259,-353
1046,-3306,260,-665
1050,-3535,261,-975
1054,-3750,262,-1280
1058,-3950,263,-1581
1062,-4135,264,-1876
1066,-4303,265,-2162
1070,-4455,266,-2441
1074,-4588,267,-2710
1078,-4704,268,-2968
1082,-4801,269,-3215
1086,-4879,270,-3449
1090,-4938,271,-3669
1094,-4977,272,-3875
1098,-4997,273,-4065
1102,-4997,274,-4239
1106,-4977,275,-4397
1110,-4938,276,-4537
1114,-4879,277,-4660
1118,-4801,278,-4764
1122,-4704,279,-4849
1126,-4588,280,-4915
1130,-4455,281,-4961
1134,-4303,282,-4989
1138,-4135,283,-4996
1142,-3950,284,-4984
1146,-3750,285,-4952
1150,-3535,286,-4900
1154,-3306,287,-4829
