bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
0,-2,-2,-2,-2,4,4,0,0
1,-2,-3,-2,-3,5,5,0,0
2,-2,-3,-2,-3,5,5,0,0
3,-1,-3,-1,-3,4,4,0,0
4,-1,-2,-1,-2,3,3,0,0
5,-1,-3,-1,-3,4,4,0,0
6,-1,-3,-1,-3,4,4,0,0
7,-1,-3,-1,-3,4,4,0,0
8,-1,-2,-1,-2,3,3,0,0
9,0,-2,0,-2,2,2,0,0
10,0,-3,0,-3,3,3,0,0
11,1,-3,1,-3,4,4,0,0
12,1,-3,1,-3,4,4,0,0
13,0,-2,0,-2,2,2,0,0
14,1,-3,1,-3,4,4,0,0
15,2,-2,2,-2,4,4,0,0
16,2,-3,2,-3,5,5,0,0
17,2,-2,2,-2,4,4,0,0
18,3,-1,3,-1,4,4,0,0
19,3,-1,3,-1,4,4,0,0
20,3,-1,3,-1,4,4,0,0
21,4,-1,4,-1,5,5,0,0
22,4,-1,4,-1,5,5,0,0
23,3,0,3,0,3,3,0,0
24,2,1,2,1,3,3,0,0
25,1,1,1,1,2,2,0,0
26,1,1,1,1,2,2,0,0
27,1,1,1,1,2,2,0,0
28,1,1,1,1,2,2,0,0
29,1,1,1,1,2,2,0,0
30,0,2,0,2,2,2,0,0
31,0,2,0,2,2,2,0,0
32,0,1,0,1,1,1,0,0
33,0,1,0,1,1,1,0,0
34,-1,2,-1,2,3,3,0,0
35,-2,2,-2,2,4,4,0,0
36,-2,2,-2,2,4,4,0,0
37,-3,1,-3,1,4,4,0,0
38,-3,0,-3,0,3,3,0,0
39,-3,0,-3,0,3,3,0,0
40,-2,0,-2,0,2,2,0,0
41,-2,0,-2,0,2,2,0,0
42,-2,0,-2,0,2,2,0,0
43,-2,-1,-2,-1,3,3,0,0
44,-3,-1,-3,-1,4,4,0,0
45,-4,-2,-4,-2,6,6,0,0
46,-4,-3,-4,-3,7,7,0,0
47,-3,-4,-3,-4,7,7,0,0
48,-2,-4,-2,-4,6,6,0,0
49,-3,-3,-3,-3,6,6,0,0
50,-3,-3,-3,-3,6,6,0,0
51,-2,-3,-2,-3,5,5,0,0
52,-1,-3,-1,-3,4,4,0,0
53,0,-2,0,-2,2,2,0,0
54,-1,-3,-1,-3,4,4,0,0
55,0,-4,0,-4,4,4,0,0
56,0,-4,0,-4,4,4,0,0
57,1,-5,1,-5,6,6,0,0
58,1,-4,1,-4,5,5,0,0
59,1,-4,1,-4,5,5,0,0
60,1,-3,1,-3,4,4,0,0
61,2,-3,2,-3,5,5,0,0
62,2,-3,2,-3,5,5,0,0
63,2,-2,2,-2,4,4,0,0
64,2,-2,2,-2,4,4,0,0
65,2,-2,2,-2,4,4,0,0
66,3,-1,3,-1,4,4,0,0
67,3,0,3,0,3,3,0,0
68,3,1,3,1,4,4,0,0
69,2,1,2,1,3,3,0,0
70,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0
72,1,0,1,0,1,1,0,0
73,1,1,1,1,2,2,0,0
74,1,1,1,1,2,2,0,0
75,1,2,1,2,3,3,0,0
76,0,2,0,2,2,2,0,0
77,-1,2,-1,2,3,3,0,0
78,-1,2,-1,2,3,3,0,0
79,-1,1,-1,1,2,2,0,0
80,-1,0,-1,0,1,1,0,0
81,-2,1,-2,1,3,3,0,0
82,-3,2,-3,2,5,5,0,0
83,-3,1,-3,1,4,4,0,0
84,-4,0,-4,0,4,4,0,0
85,-4,0,-4,0,4,4,0,0
86,-3,-1,-3,-1,4,4,0,0
87,-3,-1,-3,-1,4,4,0,0
88,-3,0,-3,0,3,3,0,0
89,-3,-1,-3,-1,4,4,0,0
90,-3,-1,-3,-1,4,4,0,0
91,-4,-2,-4,-2,6,6,0,0
92,-2,-2,-2,-2,4,4,0,0
93,-3,-1,-3,-1,4,4,0,0
94,-3,-1,-3,-1,4,4,0,0
95,-4,-2,-4,-2,6,6,0,0
96,-4,-3,-4,-3,7,7,0,0
97,-3,-3,-3,-3,6,6,0,0
98,-2,-4,-2,-4,6,6,0,0
99,-2,-3,-2,-3,5,5,0,0
100,-2,-3,-2,-3,5,5,0,0
101,-1,-4,-1,-4,5,5,0,0
102,-1,-4,-1,-4,5,5,0,0
103,0,-4,0,-4,4,4,0,0
104,0,-4,0,-4,4,4,0,0
105,0,-4,0,-4,4,4,0,0
106,0,-4,0,-4,4,4,0,0
107,1,-3,1,-3,4,4,0,0
108,1,-2,1,-2,3,3,0,0
109,1,-1,1,-1,2,2,0,0
110,1,-1,1,-1,2,2,0,0
111,1,0,1,0,1,1,0,0
112,1,-1,1,-1,2,2,0,0
113,2,0,2,0,2,2,0,0
114,3,1,3,1,4,4,0,0
115,3,1,3,1,4,4,0,0
116,2,2,2,2,4,4,0,0
117,1,1,1,1,2,2,0,0
118,0,2,0,2,2,2,0,0
119,0,1,0,1,1,1,0,0
