bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
0,32,0,32,0,32,32,0,0
1,32,-1,32,-1,33,33,0,0
2,32,-1,32,-1,33,33,0,0
3,32,-1,32,-1,33,33,0,0
4,32,-1,32,-1,33,33,0,0
5,32,-1,32,-1,33,33,0,0
6,32,-1,32,-1,33,33,0,0
7,32,-1,32,-1,33,33,0,0
8,32,-1,32,-1,33,33,0,0
9,32,-1,32,-1,33,33,0,0
10,32,-1,32,-1,33,33,0,0
11,32,-1,32,-1,33,33,0,0
12,32,-1,32,-1,33,33,0,0
13,32,-1,32,-1,33,33,0,0
14,32,-1,32,-1,33,33,0,0
15,32,-1,32,-1,33,33,0,0
16,32,-1,32,-1,33,33,0,0
17,32,-1,32,-1,33,33,0,0
18,32,-1,32,-1,33,33,0,0
19,32,-1,32,-1,33,33,0,0
20,32,-1,32,-1,33,33,0,0
21,32,-1,32,-1,33,33,0,0
22,32,-1,32,-1,33,33,0,0
23,32,-1,32,-1,33,33,0,0
24,32,-1,32,-1,33,33,0,0
25,32,-1,32,-1,33,33,0,0
26,32,-1,32,-1,33,33,0,0
27,32,-1,32,-1,33,33,0,0
28,32,-1,32,-1,33,33,0,0
29,32,-1,32,-1,33,33,0,0
30,32,-1,32,-1,33,33,0,0
31,32,-1,32,-1,33,33,0,0
32,32,-1,32,-1,33,33,0,0
33,32,-1,32,-1,33,33,0,0
34,32,-1,32,-1,33,33,0,0
35,32,-1,32,-1,33,33,0,0
36,32,-1,32,-1,33,33,0,0
37,32,-1,32,-1,33,33,0,0
38,32,-1,32,-1,33,33,0,0
39,32,-1,32,-1,33,33,0,0
40,32,-1,32,-1,33,33,0,0
41,32,-1,32,-1,33,33,0,0
42,32,-1,32,-1,33,33,0,0
43,32,-1,32,-1,33,33,0,0
44,32,0,32,0,32,32,0,0
45,32,-1,32,-1,33,33,0,0
46,32,-1,32,-1,33,33,0,0
47,32,-1,32,-1,33,33,0,0
48,32,0,32,0,32,32,0,0
49,32,-1,32,-1,33,33,0,0
50,32,-1,32,-1,33,33,0,0
51,32,-1,32,-1,33,33,0,0
52,32,0,32,0,32,32,0,0
53,32,-1,32,-1,33,33,0,0
54,32,-1,32,-1,33,33,0,0
55,32,-1,32,-1,33,33,0,0
56,32,0,32,0,32,32,0,0
57,32,-1,32,-1,33,33,0,0
58,32,-1,32,-1,33,33,0,0
59,32,-1,32,-1,33,33,0,0
60,32,0,32,0,32,32,0,0
61,32,-1,32,-1,33,33,0,0
62,32,0,32,0,32,32,0,0
63,32,-1,32,-1,33,33,0,0
64,32,0,32,0,32,32,0,0
65,32,-1,32,-1,33,33,0,0
66,32,-1,32,-1,33,33,0,0
67,32,-1,32,-1,33,33,0,0
68,32,0,32,0,32,32,0,0
69,32,-1,32,-1,33,33,0,0
70,32,-1,32,-1,33,33,0,0
71,32,-1,32,-1,33,33,0,0
72,32,0,32,0,32,32,0,0
73,32,-1,32,-1,33,33,0,0
