bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
0,32,0,32,0,32,32,0,0
1,31,0,31,0,31,31,0,0
2,31,1,31,1,32,32,0,0
3,31,2,31,2,33,33,0,0
4,31,3,31,3,34,34,0,0
5,31,4,31,4,35,35,0,0
6,31,5,31,5,36,36,0,0
7,31,6,31,6,37,37,0,0
8,31,7,31,7,38,38,0,0
9,30,8,30,8,38,38,0,0
10,30,9,30,9,39,39,0,0
11,30,10,30,10,40,40,0,0
12,29,11,29,11,40,40,0,0
13,29,12,29,12,41,41,0,0
14,29,13,29,13,42,42,0,0
15,28,14,28,14,42,42,0,0
16,28,15,28,15,43,43,0,0
17,27,15,27,15,42,42,0,0
18,27,16,27,16,43,43,0,0
19,26,17,26,17,43,43,0,0
20,26,18,26,18,44,44,0,0
21,25,19,25,19,44,44,0,0
22,24,19,24,19,43,43,0,0
23,24,20,24,20,44,44,0,0
24,23,21,23,21,44,44,0,0
25,23,22,23,22,45,45,0,0
26,22,22,22,22,44,44,0,0
27,21,23,21,23,44,44,0,0
28,20,24,20,24,44,44,0,0
29,20,24,20,24,44,44,0,0
30,19,25,19,25,44,44,0,0
31,18,26,18,26,44,44,0,0
32,17,26,17,26,43,43,0,0
33,16,27,16,27,43,43,0,0
34,16,27,16,27,43,43,0,0
35,15,28,15,28,43,43,0,0
36,14,28,14,28,42,42,0,0
37,13,29,13,29,42,42,0,0
38,12,29,12,29,41,41,0,0
39,11,29,11,29,40,40,0,0
40,10,30,10,30,40,40,0,0
41,9,30,9,30,39,39,0,0
42,8,30,8,30,38,38,0,0
43,7,30,7,30,37,37,0,0
44,7,31,7,31,38,38,0,0
45,6,31,6,31,37,37,0,0
46,5,31,5,31,36,36,0,0
47,4,31,4,31,35,35,0,0
48,3,31,3,31,34,34,0,0
49,2,31,2,31,33,33,0,0
50,1,31,1,31,32,32,0,0
51,0,31,0,31,31,31,0,0
52,-1,31,-1,31,32,32,0,0
53,-2,31,-2,31,33,33,0,0
54,-3,31,-3,31,34,34,0,0
55,-4,31,-4,31,35,35,0,0
56,-5,31,-5,31,36,36,0,0
57,-6,31,-6,31,37,37,0,0
58,-7,31,-7,31,38,38,0,0
59,-8,31,-8,31,39,39,0,0
60,-9,30,-9,30,39,39,0,0
61,-10,30,-10,30,40,40,0,0
62,-11,30,-11,30,41,41,0,0
63,-12,29,-12,29,41,41,0,0
64,-13,29,-13,29,42,42,0,0
65,-14,29,-14,29,43,43,0,0
66,-15,28,-15,28,43,43,0,0
67,-15,28,-15,28,43,43,0,0
68,-16,27,-16,27,43,43,0,0
69,-17,27,-17,27,44,44,0,0
70,-18,26,-18,26,44,44,0,0
71,-19,26,-19,26,45,45,0,0
72,-20,25,-20,25,45,45,0,0
73,-20,25,-20,25,45,45,0,0
74,-21,24,-21,24,45,45,0,0
75,-22,23,-22,23,45,45,0,0
76,-23,23,-23,23,46,46,0,0
77,-23,22,-23,22,45,45,0,0
78,-24,21,-24,21,45,45,0,0
79,-25,21,-25,21,46,46,0,0
80,-25,20,-25,20,45,45,0,0
81,-26,19,-26,19,45,45,0,0
82,-26,18,-26,18,44,44,0,0
83,-27,17,-27,17,44,44,0,0
84,-28,17,-28,17,45,45,0,0
85,-28,16,-28,16,44,44,0,0
86,-29,15,-29,15,44,44,0,0
87,-29,14,-29,14,43,43,0,0
88,-29,13,-29,13,42,42,0,0
89,-30,12,-30,12,42,42,0,0
90,-30,11,-30,11,41,41,0,0
91,-31,10,-31,10,41,41,0,0
92,-31,10,-31,10,41,41,0,0
93,-31,9,-31,9,40,40,0,0
94,-31,8,-31,8,39,39,0,0
95,-32,7,-32,7,39,39,0,0
96,-32,6,-32,6,38,38,0,0
97,-32,5,-32,5,37,37,0,0
98,-32,4,-32,4,36,36,0,0
99,-32,3,-32,3,35,35,0,0
100,-32,2,-32,2,34,34,0,0
101,-32,1,-32,1,33,33,0,0
102,-32,0,-32,0,32,32,0,0
103,-32,-1,-32,-1,33,33,0,0
104,-32,-2,-32,-2,34,34,0,0
105,-32,-3,-32,-3,35,35,0,0
106,-32,-4,-32,-4,36,36,0,0
107,-32,-5,-32,-5,37,37,0,0
108,-32,-6,-32,-6,38,38,0,0
109,-32,-7,-32,-7,39,39,0,0
110,-32,-8,-32,-8,40,40,0,0
111,-31,-9,-31,-9,40,40,0,0
112,-31,-10,-31,-10,41,41,0,0
113,-31,-11,-31,-11,42,42,0,0
114,-30,-12,-30,-12,42,42,0,0
115,-30,-13,-30,-13,43,43,0,0
116,-30,-13,-30,-13,43,43,0,0
117,-29,-14,-29,-14,43,43,0,0
118,-29,-15,-29,-15,44,44,0,0
119,-28,-16,-28,-16,44,44,0,0
120,-28,-17,-28,-17,45,45,0,0
121,-27,-18,-27,-18,45,45,0,0
122,-27,-19,-27,-19,46,46,0,0
123,-26,-19,-26,-19,45,45,0,0
124,-26,-20,-26,-20,46,46,0,0
125,-25,-21,-25,-21,46,46,0,0
126,-24,-22,-24,-22,46,46,0,0
127,-24,-22,-24,-22,46,46,0,0
128,-23,-23,-23,-23,46,46,0,0
129,-22,-24,-22,-24,46,46,0,0
130,-22,-24,-22,-24,46,46,0,0
131,-21,-25,-21,-25,46,46,0,0
132,-20,-26,-20,-26,46,46,0,0
133,-19,-26,-19,-26,45,45,0,0
134,-19,-27,-19,-27,46,46,0,0
135,-18,-27,-18,-27,45,45,0,0
136,-17,-28,-17,-28,45,45,0,0
137,-16,-28,-16,-28,44,44,0,0
138,-15,-29,-15,-29,44,44,0,0
139,-14,-29,-14,-29,43,43,0,0
140,-13,-30,-13,-30,43,43,0,0
141,-13,-30,-13,-30,43,43,0,0
142,-12,-30,-12,-30,42,42,0,0
143,-11,-31,-11,-31,42,42,0,0
144,-10,-31,-10,-31,41,41,0,0
145,-9,-31,-9,-31,40,40,0,0
146,-8,-32,-8,-32,40,40,0,0
147,-7,-32,-7,-32,39,39,0,0
148,-6,-32,-6,-32,38,38,0,0
149,-5,-32,-5,-32,37,37,0,0
150,-4,-32,-4,-32,36,36,0,0
151,-3,-32,-3,-32,35,35,0,0
152,-2,-32,-2,-32,34,34,0,0
153,-1,-32,-1,-32,33,33,0,0
154,0,-33,0,-33,33,33,0,0
155,1,-32,1,-32,33,33,0,0
156,2,-32,2,-32,34,34,0,0
157,3,-32,3,-32,35,35,0,0
158,4,-32,4,-32,36,36,0,0
159,5,-32,5,-32,37,37,0,0
160,6,-32,6,-32,38,38,0,0
161,7,-32,7,-32,39,39,0,0
162,8,-31,8,-31,39,39,0,0
163,9,-31,9,-31,40,40,0,0
164,10,-31,10,-31,41,41,0,0
165,10,-31,10,-31,41,41,0,0
166,11,-30,11,-30,41,41,0,0
167,12,-30,12,-30,42,42,0,0
168,13,-29,13,-29,42,42,0,0
169,14,-29,14,-29,43,43,0,0
170,15,-29,15,-29,44,44,0,0
171,16,-28,16,-28,44,44,0,0
172,17,-28,17,-28,45,45,0,0
173,17,-27,17,-27,44,44,0,0
174,18,-26,18,-26,44,44,0,0
175,19,-26,19,-26,45,45,0,0
176,20,-25,20,-25,45,45,0,0
177,21,-25,21,-25,46,46,0,0
178,21,-24,21,-24,45,45,0,0
179,22,-23,22,-23,45,45,0,0
180,23,-23,23,-23,46,46,0,0
181,23,-22,23,-22,45,45,0,0
182,24,-21,24,-21,45,45,0,0
183,25,-20,25,-20,45,45,0,0
184,25,-20,25,-20,45,45,0,0
185,26,-19,26,-19,45,45,0,0
186,26,-18,26,-18,44,44,0,0
187,27,-17,27,-17,44,44,0,0
188,27,-16,27,-16,43,43,0,0
189,28,-15,28,-15,43,43,0,0
190,28,-15,28,-15,43,43,0,0
191,29,-14,29,-14,43,43,0,0
192,29,-13,29,-13,42,42,0,0
193,29,-12,29,-12,41,41,0,0
194,30,-11,30,-11,41,41,0,0
195,30,-10,30,-10,40,40,0,0
196,30,-9,30,-9,39,39,0,0
197,31,-8,31,-8,39,39,0,0
198,31,-7,31,-7,38,38,0,0
199,31,-6,31,-6,37,37,0,0
200,31,-5,31,-5,36,36,0,0
201,31,-4,31,-4,35,35,0,0
202,31,-3,31,-3,34,34,0,0
203,31,-2,31,-2,33,33,0,0
204,31,-1,31,-1,32,32,0,0
205,31,0,31,0,31,31,0,0
206,31,1,31,1,32,32,0,0
207,31,2,31,2,33,33,0,0
208,31,3,31,3,34,34,0,0
209,31,4,31,4,35,35,0,0
210,31,5,31,5,36,36,0,0
211,31,6,31,6,37,37,0,0
212,31,7,31,7,38,38,0,0
213,30,7,30,7,37,37,0,0
214,30,8,30,8,38,38,0,0
215,30,9,30,9,39,39,0,0
216,30,10,30,10,40,40,0,0
217,29,11,29,11,40,40,0,0
218,29,12,29,12,41,41,0,0
219,29,13,29,13,42,42,0,0
220,28,14,28,14,42,42,0,0
221,28,15,28,15,43,43,0,0
222,27,16,27,16,43,43,0,0
223,27,16,27,16,43,43,0,0
224,26,17,26,17,43,43,0,0
225,26,18,26,18,44,44,0,0
226,25,19,25,19,44,44,0,0
227,24,20,24,20,44,44,0,0
228,24,20,24,20,44,44,0,0
229,23,21,23,21,44,44,0,0
230,22,22,22,22,44,44,0,0
231,22,23,22,23,45,45,0,0
232,21,23,21,23,44,44,0,0
233,20,24,20,24,44,44,0,0
234,19,24,19,24,43,43,0,0
235,19,25,19,25,44,44,0,0
236,18,26,18,26,44,44,0,0
237,17,26,17,26,43,43,0,0
238,16,27,16,27,43,43,0,0
239,15,27,15,27,42,42,0,0
240,15,28,15,28,43,43,0,0
241,14,28,14,28,42,42,0,0
242,13,29,13,29,42,42,0,0
243,12,29,12,29,41,41,0,0
244,11,29,11,29,40,40,0,0
245,10,30,10,30,40,40,0,0
246,9,30,9,30,39,39,0,0
247,8,30,8,30,38,38,0,0
248,7,31,7,31,38,38,0,0
249,6,31,6,31,37,37,0,0
250,5,31,5,31,36,36,0,0
251,4,31,4,31,35,35,0,0
252,3,31,3,31,34,34,0,0
253,2,31,2,31,33,33,0,0
254,1,31,1,31,32,32,0,0
255,0,31,0,31,31,31,0,0
256,0,31,0,31,31,31,0,0
257,-1,31,-1,31,32,32,0,0
258,-2,31,-2,31,33,33,0,0
259,-3,31,-3,31,34,34,0,0
260,-4,31,-4,31,35,35,0,0
261,-5,31,-5,31,36,36,0,0
262,-6,31,-6,31,37,37,0,0
263,-7,31,-7,31,38,38,0,0
264,-8,31,-8,31,39,39,0,0
265,-9,30,-9,30,39,39,0,0
266,-10,30,-10,30,40,40,0,0
267,-11,30,-11,30,41,41,0,0
268,-12,29,-12,29,41,41,0,0
269,-13,29,-13,29,42,42,0,0
270,-14,29,-14,29,43,43,0,0
271,-15,28,-15,28,43,43,0,0
272,-16,28,-16,28,44,44,0,0
273,-16,27,-16,27,43,43,0,0
274,-17,27,-17,27,44,44,0,0
275,-18,26,-18,26,44,44,0,0
276,-19,26,-19,26,45,45,0,0
277,-20,25,-20,25,45,45,0,0
278,-20,24,-20,24,44,44,0,0
279,-21,24,-21,24,45,45,0,0
280,-22,23,-22,23,45,45,0,0
281,-23,23,-23,23,46,46,0,0
282,-23,22,-23,22,45,45,0,0
283,-24,21,-24,21,45,45,0,0
284,-25,20,-25,20,45,45,0,0
285,-25,20,-25,20,45,45,0,0
286,-26,19,-26,19,45,45,0,0
287,-27,18,-27,18,45,45,0,0
288,-27,17,-27,17,44,44,0,0
289,-28,16,-28,16,44,44,0,0
290,-28,16,-28,16,44,44,0,0
291,-29,15,-29,15,44,44,0,0
292,-29,14,-29,14,43,43,0,0
293,-30,13,-30,13,43,43,0,0
294,-30,12,-30,12,42,42,0,0
295,-30,11,-30,11,41,41,0,0
296,-31,10,-31,10,41,41,0,0
297,-31,9,-31,9,40,40,0,0
298,-31,8,-31,8,39,39,0,0
299,-31,7,-31,7,38,38,0,0
300,-32,7,-32,7,39,39,0,0
301,-32,6,-32,6,38,38,0,0
302,-32,5,-32,5,37,37,0,0
303,-32,4,-32,4,36,36,0,0
304,-32,3,-32,3,35,35,0,0
305,-32,2,-32,2,34,34,0,0
306,-32,1,-32,1,33,33,0,0
307,-32,0,-32,0,32,32,0,0
308,-32,-1,-32,-1,33,33,0,0
309,-32,-2,-32,-2,34,34,0,0
310,-32,-3,-32,-3,35,35,0,0
311,-32,-4,-32,-4,36,36,0,0
312,-32,-5,-32,-5,37,37,0,0
313,-32,-6,-32,-6,38,38,0,0
314,-32,-7,-32,-7,39,39,0,0
315,-32,-8,-32,-8,40,40,0,0
316,-31,-9,-31,-9,40,40,0,0
317,-31,-10,-31,-10,41,41,0,0
318,-31,-11,-31,-11,42,42,0,0
319,-30,-12,-30,-12,42,42,0,0
320,-30,-13,-30,-13,43,43,0,0
321,-30,-14,-30,-14,44,44,0,0
322,-29,-15,-29,-15,44,44,0,0
323,-29,-15,-29,-15,44,44,0,0
324,-28,-16,-28,-16,44,44,0,0
325,-28,-17,-28,-17,45,45,0,0
326,-27,-18,-27,-18,45,45,0,0
327,-27,-19,-27,-19,46,46,0,0
328,-26,-20,-26,-20,46,46,0,0
329,-26,-20,-26,-20,46,46,0,0
330,-25,-21,-25,-21,46,46,0,0
331,-24,-22,-24,-22,46,46,0,0
332,-24,-23,-24,-23,47,47,0,0
333,-23,-23,-23,-23,46,46,0,0
334,-22,-24,-22,-24,46,46,0,0
335,-22,-25,-22,-25,47,47,0,0
336,-21,-25,-21,-25,46,46,0,0
337,-20,-26,-20,-26,46,46,0,0
338,-19,-26,-19,-26,45,45,0,0
339,-18,-27,-18,-27,45,45,0,0
340,-18,-28,-18,-28,46,46,0,0
341,-17,-28,-17,-28,45,45,0,0
342,-16,-29,-16,-29,45,45,0,0
343,-15,-29,-15,-29,44,44,0,0
344,-14,-29,-14,-29,43,43,0,0
345,-13,-30,-13,-30,43,43,0,0
346,-12,-30,-12,-30,42,42,0,0
347,-11,-31,-11,-31,42,42,0,0
348,-11,-31,-11,-31,42,42,0,0
349,-10,-31,-10,-31,41,41,0,0
350,-9,-31,-9,-31,40,40,0,0
351,-8,-32,-8,-32,40,40,0,0
352,-7,-32,-7,-32,39,39,0,0
353,-6,-32,-6,-32,38,38,0,0
354,-5,-32,-5,-32,37,37,0,0
355,-4,-32,-4,-32,36,36,0,0
356,-3,-32,-3,-32,35,35,0,0
357,-2,-32,-2,-32,34,34,0,0
358,-1,-32,-1,-32,33,33,0,0
359,0,-32,0,-32,32,32,0,0
360,1,-32,1,-32,33,33,0,0
361,2,-32,2,-32,34,34,0,0
362,3,-32,3,-32,35,35,0,0
363,4,-32,4,-32,36,36,0,0
364,5,-32,5,-32,37,37,0,0
365,6,-32,6,-32,38,38,0,0
366,7,-32,7,-32,39,39,0,0
367,8,-31,8,-31,39,39,0,0
368,9,-31,9,-31,40,40,0,0
369,10,-31,10,-31,41,41,0,0
370,11,-30,11,-30,41,41,0,0
371,12,-30,12,-30,42,42,0,0
372,12,-30,12,-30,42,42,0,0
373,13,-29,13,-29,42,42,0,0
374,14,-29,14,-29,43,43,0,0
375,15,-28,15,-28,43,43,0,0
376,16,-28,16,-28,44,44,0,0
377,17,-27,17,-27,44,44,0,0
378,18,-27,18,-27,45,45,0,0
379,18,-26,18,-26,44,44,0,0
380,19,-26,19,-26,45,45,0,0
381,20,-25,20,-25,45,45,0,0
382,21,-24,21,-24,45,45,0,0
383,21,-24,21,-24,45,45,0,0
384,22,-23,22,-23,45,45,0,0
385,23,-22,23,-22,45,45,0,0
386,23,-22,23,-22,45,45,0,0
387,24,-21,24,-21,45,45,0,0
388,25,-20,25,-20,45,45,0,0
389,25,-19,25,-19,44,44,0,0
390,26,-19,26,-19,45,45,0,0
391,26,-18,26,-18,44,44,0,0
392,27,-17,27,-17,44,44,0,0
393,27,-16,27,-16,43,43,0,0
394,28,-15,28,-15,43,43,0,0
395,28,-14,28,-14,42,42,0,0
396,29,-13,29,-13,42,42,0,0
397,29,-13,29,-13,42,42,0,0
398,29,-12,29,-12,41,41,0,0
399,30,-11,30,-11,41,41,0,0
400,30,-10,30,-10,40,40,0,0
401,30,-9,30,-9,39,39,0,0
402,31,-8,31,-8,39,39,0,0
403,31,-7,31,-7,38,38,0,0
404,31,-6,31,-6,37,37,0,0
405,31,-5,31,-5,36,36,0,0
406,31,-4,31,-4,35,35,0,0
407,31,-3,31,-3,34,34,0,0
408,31,-2,31,-2,33,33,0,0
409,31,-1,31,-1,32,32,0,0
410,31,0,31,0,31,31,0,0
411,31,1,31,1,32,32,0,0
412,31,2,31,2,33,33,0,0
413,31,3,31,3,34,34,0,0
414,31,4,31,4,35,35,0,0
415,31,5,31,5,36,36,0,0
416,31,6,31,6,37,37,0,0
417,31,7,31,7,38,38,0,0
418,30,8,30,8,38,38,0,0
419,30,9,30,9,39,39,0,0
420,30,10,30,10,40,40,0,0
421,30,10,30,10,40,40,0,0
422,29,11,29,11,40,40,0,0
423,29,12,29,12,41,41,0,0
424,28,13,28,13,41,41,0,0
425,28,14,28,14,42,42,0,0
426,28,15,28,15,43,43,0,0
427,27,16,27,16,43,43,0,0
428,27,17,27,17,44,44,0,0
429,26,17,26,17,43,43,0,0
430,25,18,25,18,43,43,0,0
431,25,19,25,19,44,44,0,0
432,24,20,24,20,44,44,0,0
433,24,21,24,21,45,45,0,0
434,23,21,23,21,44,44,0,0
435,22,22,22,22,44,44,0,0
436,22,23,22,23,45,45,0,0
437,21,23,21,23,44,44,0,0
438,20,24,20,24,44,44,0,0
439,19,25,19,25,44,44,0,0
440,19,25,19,25,44,44,0,0
441,18,26,18,26,44,44,0,0
442,17,26,17,26,43,43,0,0
443,16,27,16,27,43,43,0,0
444,15,27,15,27,42,42,0,0
445,14,28,14,28,42,42,0,0
446,14,28,14,28,42,42,0,0
447,13,29,13,29,42,42,0,0
448,12,29,12,29,41,41,0,0
449,11,29,11,29,40,40,0,0
450,10,30,10,30,40,40,0,0
451,9,30,9,30,39,39,0,0
452,8,30,8,30,38,38,0,0
453,7,31,7,31,38,38,0,0
454,6,31,6,31,37,37,0,0
455,5,31,5,31,36,36,0,0
456,4,31,4,31,35,35,0,0
457,3,31,3,31,34,34,0,0
458,2,31,2,31,33,33,0,0
459,1,31,1,31,32,32,0,0
460,0,31,0,31,31,31,0,0
461,-1,31,-1,31,32,32,0,0
462,-2,31,-2,31,33,33,0,0
463,-3,31,-3,31,34,34,0,0
464,-4,31,-4,31,35,35,0,0
465,-5,31,-5,31,36,36,0,0
466,-6,31,-6,31,37,37,0,0
467,-7,31,-7,31,38,38,0,0
468,-8,31,-8,31,39,39,0,0
469,-8,30,-8,30,38,38,0,0
470,-9,30,-9,30,39,39,0,0
471,-10,30,-10,30,40,40,0,0
472,-11,30,-11,30,41,41,0,0
473,-12,29,-12,29,41,41,0,0
474,-13,29,-13,29,42,42,0,0
475,-14,29,-14,29,43,43,0,0
476,-15,28,-15,28,43,43,0,0
477,-16,28,-16,28,44,44,0,0
478,-17,27,-17,27,44,44,0,0
479,-17,27,-17,27,44,44,0,0
480,-18,26,-18,26,44,44,0,0
481,-19,26,-19,26,45,45,0,0
482,-20,25,-20,25,45,45,0,0
483,-21,24,-21,24,45,45,0,0
484,-21,24,-21,24,45,45,0,0
485,-22,23,-22,23,45,45,0,0
486,-23,22,-23,22,45,45,0,0
487,-24,22,-24,22,46,46,0,0
488,-24,21,-24,21,45,45,0,0
489,-25,20,-25,20,45,45,0,0
490,-25,19,-25,19,44,44,0,0
491,-26,19,-26,19,45,45,0,0
492,-27,18,-27,18,45,45,0,0
493,-27,17,-27,17,44,44,0,0
494,-28,16,-28,16,44,44,0,0
495,-28,15,-28,15,43,43,0,0
496,-29,15,-29,15,44,44,0,0
497,-29,14,-29,14,43,43,0,0
498,-30,13,-30,13,43,43,0,0
499,-30,12,-30,12,42,42,0,0
500,-30,11,-30,11,41,41,0,0
501,-31,10,-31,10,41,41,0,0
502,-31,9,-31,9,40,40,0,0
503,-31,8,-31,8,39,39,0,0
504,-32,7,-32,7,39,39,0,0
505,-32,6,-32,6,38,38,0,0
506,-32,5,-32,5,37,37,0,0
507,-32,4,-32,4,36,36,0,0
508,-32,3,-32,3,35,35,0,0
509,-32,2,-32,2,34,34,0,0
510,-32,1,-32,1,33,33,0,0
511,-32,0,-32,0,32,32,0,0
512,-32,0,-32,0,32,32,0,0
513,-32,-1,-32,-1,33,33,0,0
514,-32,-2,-32,-2,34,34,0,0
515,-32,-3,-32,-3,35,35,0,0
516,-32,-4,-32,-4,36,36,0,0
517,-32,-5,-32,-5,37,37,0,0
518,-32,-6,-32,-6,38,38,0,0
519,-32,-7,-32,-7,39,39,0,0
520,-32,-8,-32,-8,40,40,0,0
521,-31,-9,-31,-9,40,40,0,0
522,-31,-10,-31,-10,41,41,0,0
523,-31,-11,-31,-11,42,42,0,0
524,-30,-12,-30,-12,42,42,0,0
525,-30,-13,-30,-13,43,43,0,0
526,-30,-14,-30,-14,44,44,0,0
527,-29,-15,-29,-15,44,44,0,0
528,-29,-16,-29,-16,45,45,0,0
529,-28,-16,-28,-16,44,44,0,0
530,-28,-17,-28,-17,45,45,0,0
531,-27,-18,-27,-18,45,45,0,0
532,-27,-19,-27,-19,46,46,0,0
533,-26,-20,-26,-20,46,46,0,0
534,-25,-20,-25,-20,45,45,0,0
535,-25,-21,-25,-21,46,46,0,0
536,-24,-22,-24,-22,46,46,0,0
537,-24,-23,-24,-23,47,47,0,0
538,-23,-23,-23,-23,46,46,0,0
539,-22,-24,-22,-24,46,46,0,0
540,-21,-25,-21,-25,46,46,0,0
541,-21,-25,-21,-25,46,46,0,0
542,-20,-26,-20,-26,46,46,0,0
543,-19,-27,-19,-27,46,46,0,0
544,-18,-27,-18,-27,45,45,0,0
545,-17,-28,-17,-28,45,45,0,0
546,-17,-28,-17,-28,45,45,0,0
