idx,rtl_i,py_i,err_i,rtl_q,py_q,err_q
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,-1,0,-1,-1,0,-1
4,-1,0,-1,0,0,0
5,-1,0,-1,-1,0,-1
6,0,0,0,-1,-1,0
7,0,0,0,0,-1,1
8,-1,0,-1,0,0,0
9,1,0,1,-2,0,-2
10,0,0,0,0,-1,1
11,-2,0,-2,2,0,2
12,2,-1,3,-4,1,-5
13,-2,-1,-1,2,-2,4
14,-2,1,-3,2,1,1
15,5,-1,6,-10,1,-11
16,-6,-3,-3,8,-6,14
17,0,4,-4,2,5,-3
18,10,-1,11,-20,1,-21
19,-40,-7,-33,39,-11,50
20,-23,10,-33,-31,15,-46
21,204,-4,208,-300,-12,-288
22,473,17,456,-282,-35,-247
23,508,130,378,-41,123,-164
24,391,135,256,-197,162,-359
25,380,224,156,-292,-168,-124
26,250,620,-370,305,-189,494
27,-67,545,-612,666,564,102
28,65,-53,118,157,1047,-890
29,522,-49,571,-345,389,-734
30,522,70,452,-362,-369,7
31,307,-507,814,-145,-198,53
32,312,-583,895,127,143,-16
33,279,102,177,170,-102,272
34,176,242,-66,2,-399,401
35,99,-26,125,-47,-375,328
36,-5,-24,19,51,-303,354
37,-32,-32,0,232,-219,451
38,-39,-58,19,418,-155,573
39,-110,41,-151,510,-108,618
40,-8,-23,15,456,208,248
41,185,-271,456,164,361,-197
42,76,-299,375,-155,-3,-152
43,-296,19,-315,-292,-210,-82
44,-569,169,-738,-367,-302,-65
45,-467,-84,-383,-298,-539,241
46,36,-93,129,-121,-289,168
47,506,256,250,-40,15,-55
48,540,373,167,178,-229,407
49,276,268,8,517,-92,609
50,-118,33,-151,503,457,46
51,-438,-408,-30,116,425,-309
52,-282,-560,278,-160,121,-281
53,139,-221,360,-123,103,-226
54,261,117,144,-205,-55,-150
55,91,252,-161,-452,-414,-38
56,-186,347,-533,-278,-350,72
57,-267,399,-666,109,31,78
58,206,219,-13,170,113,57
59,664,41,623,88,93,-5
60,423,381,42,2,247,-245
61,-65,731,-796,-39,244,-283
62,-202,333,-535,87,194,-107
63,-11,-203,192,118,325,-207
64,158,-182,340,59,341,-282
65,-25,192,-217,213,319,-106
66,-353,573,-926,297,381,-84
67,-460,448,-908,55,190,-135
68,-357,-157,-200,-129,-83,-46
69,-139,-264,125,-166,-132,-34
70,10,33,-23,-316,-171,-145
71,-13,-171,158,-233,-112,-121
72,-128,-315,187,92,227,-135
73,-409,118,-527,-72,515,-587
74,-471,206,-677,-244,468,-712
75,-41,35,-76,194,133,61
76,-24,424,-448,373,-119,492
77,-277,592,-869,111,-93,204
78,279,135,144,245,-35,280
79,791,70,721,465,74,391
80,605,344,261,-8,-56,48
81,362,373,-11,-168,-270,102
82,-38,276,-314,127,-133,260
83,142,33,109,-751,-491,-260
84,572,-125,697,-306,-203,-103
85,-195,-116,-79,1687,1140,547
86,3266,200,3066,-1003,320,-1323
87,14490,2319,12171,-5980,-3545,-2435
88,22795,5538,17257,-7357,-11792,4435
89,22150,6515,15635,-8155,-22303,14148
90,21002,5679,15323,-8996,-25685,16689
91,22055,5647,16408,-8379,-23827,15448
92,21723,5897,15826,-8457,-24476,16019
93,21492,5717,15775,-8690,-24818,16128
94,21869,5765,16104,-8436,-24103,15667
95,21603,5811,15792,-8579,-24569,15990
96,21620,5716,15904,-8578,-24549,15971
97,21793,5768,16025,-8509,-24371,15862
98,21673,5796,15877,-8543,-24526,15983
99,21669,5764,15905,-8537,-24424,15887
100,21669,5764,15905,-8575,-24449,15874
101,21670,5757,15913,-8535,-24483,15948
102,21714,5756,15958,-8550,-24489,15939
103,21720,5781,15939,-8541,-24465,15924
104,21694,5795,15899,-8532,-24441,15909
105,21656,5743,15913,-8592,-24479,15887
106,21703,5765,15938,-8550,-24495,15945
107,21719,5787,15932,-8539,-24531,15992
108,21714,5723,15991,-8557,-24425,15868
109,21713,5844,15869,-8544,-24509,15965
110,21562,5766,15796,-8600,-24489,15889
111,21304,5470,15834,-8909,-24358,15449
112,20974,5428,15546,-9331,-24884,15553
113,20671,5181,15490,-9558,-25086,15528
114,20231,4941,15290,-10089,-25210,15121
115,19544,4791,14753,-10798,-25966,15168
116,19166,4241,14925,-11103,-26292,15189
117,18880,3954,14926,-11433,-26473,15040
118,18215,3647,14568,-11987,-26673,14686
119,17635,3000,14635,-12554,-26932,14378
120,17251,2682,14569,-12952,-27430,14478
121,16755,2376,14379,-13457,-27615,14158
122,16058,2077,13981,-14301,-28224,13923
123,15383,1681,13702,-14894,-28902,14008
124,14870,1096,13774,-15372,-29139,13767
125,14259,745,13514,-15995,-29603,13608
126,13672,255,13417,-16556,-29942,13386
127,13133,-133,13266,-17157,-30426,13269
128,12384,-582,12966,-17788,-30784,12996
129,11560,-1290,12850,-18689,-31142,12453
130,10732,-1645,12377,-19572,-32155,12583
131,10081,-2259,12340,-20141,-32607,12466
132,9505,-2731,12236,-20839,-33023,12184
133,8589,-3131,11720,-21568,-33572,12004
134,7685,-4171,11856,-22507,-33798,11291
135,6973,-4479,11452,-23412,-34904,11492
136,6338,-4838,11176,-23833,-35502,11669
137,5986,-5634,11620,-24289,-35436,11147
138,5850,-5510,11360,-24514,-36067,11553
139,5776,-5671,11447,-24428,-36120,11692
140,5729,-5936,11665,-24447,-35902,11455
141,5802,-5675,11477,-24535,-36067,11532
142,5779,-5803,11582,-24517,-36027,11510
143,5677,-5787,11464,-24372,-35995,11623
144,5931,-5751,11682,-24603,-35997,11394
145,5716,-5870,11586,-24433,-36055,11622
146,5391,-5699,11090,-24275,-35987,11712
147,5661,-5944,11605,-25197,-35777,10580
148,4841,-6526,11367,-25246,-35424,10178
149,3881,-7115,10996,-25690,-34546,8856
150,3578,-8268,11846,-27519,-33509,5990
