idx,rtl_i,py_i,err_i,rtl_q,py_q,err_q
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,-1,0,-1,0,0,0
5,-1,0,-1,0,0,0
6,-1,0,-1,-1,-1,0
7,0,0,0,-1,-1,0
8,0,0,0,0,0,0
9,-1,0,-1,0,0,0
10,1,0,1,-3,-2,-1
11,0,1,-1,1,0,1
12,-3,-1,-2,3,3,0
13,4,-2,6,-6,-4,-2
14,-2,1,-3,3,1,2
15,-4,-1,-3,4,3,1
16,10,-5,15,-15,-10,-5
17,-10,5,-15,12,8,4
18,-1,-1,0,4,2,2
19,21,-10,31,-31,-21,-10
20,-69,13,-82,69,27,42
21,-46,-4,-42,-22,-17,-5
22,330,22,308,-449,-80,-369
23,755,167,588,-442,157,-599
24,819,168,651,-80,202,-282
25,684,355,329,-390,-363,-27
26,672,1020,-348,-604,-362,-242
27,427,896,-469,416,945,-529
28,-73,-84,11,1104,1738,-634
29,155,-113,268,247,594,-347
30,874,91,783,-635,-699,64
31,856,-769,1625,-591,-391,-200
32,476,-904,1380,-187,219,-406
33,444,100,344,156,-209,365
34,423,305,118,157,-733,890
35,351,-68,419,-77,-647,570
36,315,-15,330,-122,-502,380
37,191,2,189,57,-403,460
38,112,-80,192,370,-320,690
39,7,10,-3,668,-231,899
40,-127,-101,-26,822,307,515
41,61,-503,564,756,587,169
42,300,-578,878,266,-17,283
43,55,-4,59,-293,-388,95
44,-467,339,-806,-499,-513,14
45,-861,-124,-737,-587,-868,281
46,-794,-307,-487,-522,-490,-32
47,-35,248,-283,-273,-20,-253
48,784,610,174,-96,-409,313
49,908,527,381,271,-186,457
50,480,87,393,817,724,93
51,-231,-659,428,874,702,172
52,-759,-888,129,267,185,82
53,-418,-338,-80,-288,122,-410
54,254,195,59,-274,-103,-171
55,361,399,-38,-323,-634,311
56,63,559,-496,-649,-527,-122
57,-397,662,-1059,-411,38,-449
58,-522,355,-877,132,127,5
59,307,37,270,258,146,112
60,1051,592,459,147,465,-318
61,629,1181,-552,-101,437,-538
62,-109,534,-643,-181,330,-511
63,-295,-362,67,164,592,-428
64,-9,-330,321,252,651,-399
65,269,327,-58,89,584,-495
66,-30,989,-1019,329,665,-336
67,-604,768,-1372,503,388,115
68,-760,-236,-524,140,-55,195
69,-523,-397,-126,-158,-198,40
70,-183,78,-261,-209,-245,36
71,-20,-268,248,-410,-76,-334
72,-54,-507,453,-293,412,-705
73,-225,168,-393,112,784,-672
74,-725,319,-1044,-230,805,-1035
75,-849,76,-925,-403,444,-847
76,-175,709,-884,501,-35,536
77,-74,1015,-1089,690,-127,817
78,-418,272,-690,217,34,183
79,438,164,274,633,35,598
80,1434,666,768,670,-100,770
81,1024,559,465,-24,-292,268
82,395,370,25,-30,-555,525
83,281,223,58,-295,-666,371
84,196,-269,465,-970,-112,-858
85,493,-127,620,-37,1092,-1129
86,669,607,62,1515,1600,-85
87,-136,493,-629,1143,561,582
88,-620,-315,-305,-270,-516,246
89,-37,-584,547,-693,-477,-216
90,437,-79,516,-515,-369,-146
91,460,500,-40,-597,-572,-25
92,227,494,-267,-544,-596,52
93,-83,158,-241,-348,-705,357
94,94,45,49,-190,-505,315
95,253,-104,357,253,144,109
96,-94,-381,287,397,95,302
97,-51,-56,5,154,-123,277
98,363,794,-431,711,527,184
99,146,919,-773,1246,730,516
100,-638,108,-746,584,-30,614
101,-1009,-178,-831,210,-271,481
102,-289,478,-767,488,32,456
103,729,693,36,118,-98,216
104,936,322,614,-221,-125,-96
105,766,252,514,135,487,-352
106,409,-51,460,156,830,-674
107,-532,-456,-76,-322,294,-616
108,-1060,272,-1332,-558,-493,-65
109,-653,1187,-1840,-171,-418,247
110,-177,912,-1089,518,543,-25
111,298,359,-61,382,708,-326
112,660,316,344,-288,-40,-248
113,473,378,95,176,-34,210
114,515,532,-17,935,-12,947
115,813,767,46,251,-747,998
116,329,548,-219,-636,-617,-19
117,-198,187,-385,-558,-57,-501
118,20,400,-380,-500,-309,-191
119,-92,448,-540,-482,-51,-431
120,-561,159,-720,310,748,-438
121,-262,718,-980,1243,611,632
122,137,1013,-876,1252,184,1068
123,-469,-54,-415,510,351,159
124,-973,-276,-697,131,438,-307
125,-150,321,-471,304,75,229
126,672,-438,1110,-6,-143,137
127,317,-877,1194,-502,175,-677
128,274,216,58,2,418,-416
129,1038,317,721,554,47,507
130,762,-567,1329,96,-356,452
131,-384,-354,-30,-147,-234,87
132,-600,187,-787,339,230,109
133,-238,111,-349,506,441,65
134,-311,84,-395,160,-42,202
135,-404,54,-458,-162,-369,207
136,-136,-21,-115,-44,94,-138
137,258,167,91,123,-21,144
138,584,173,411,-422,-758,336
139,538,-45,583,-637,-278,-359
140,86,-213,299,-1,594,-595
141,-149,-426,277,-170,204,-374
142,-8,-550,542,-636,-178,-458
143,-22,-1008,986,-252,271,-523
144,-169,-1689,1520,-390,514,-904
145,-96,-992,896,-497,403,-900
146,67,365,-298,596,202,394
147,129,457,-328,889,39,850
148,186,683,-497,661,335,326
149,222,1569,-1347,1596,398,1198
150,5,742,-737,1064,-408,1472
151,-297,-817,520,-1306,-732,-574
152,-120,-545,425,-1415,117,-1532
153,175,-91,266,56,944,-888
154,-159,-887,728,-117,1194,-1311
155,-388,-980,592,-684,1007,-1691
156,209,-93,302,-279,557,-836
157,603,135,468,176,604,-428
158,355,12,343,376,1048,-672
159,464,203,261,276,862,-586
160,608,20,588,70,258,-188
161,-329,-406,77,231,21,210
162,-1306,-264,-1042,428,153,275
163,-856,-107,-749,368,282,86
164,-133,-660,527,99,162,-63
165,-553,-955,402,-77,47,-124
166,-1086,-91,-995,341,64,277
167,-754,623,-1377,712,-136,848
168,-400,123,-523,204,-241,445
