idx,rtl_i,py_i,err_i,rtl_q,py_q,err_q
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,-1,0,-1,-1,0,-1
5,0,0,0,-1,0,-1
6,0,0,0,-1,-1,0
7,0,0,0,0,-1,1
8,-1,0,-1,0,-1,1
9,1,-1,2,-1,0,-1
10,0,0,0,1,-1,2
11,-2,3,-5,-1,-1,0
12,6,-5,11,-4,3,-7
13,-5,2,-7,7,-6,13
14,-3,10,-13,-7,1,-8
15,18,-20,38,-4,10,-14
16,-24,17,-41,19,-22,41
17,9,12,-3,-28,16,-44
18,33,-49,82,9,11,-2
19,-70,65,-135,35,-52,87
20,56,-14,70,-89,63,-152
21,95,-95,190,20,-15,35
22,-72,356,-428,68,-194,262
23,210,526,-316,-131,27,-158
24,448,428,20,-14,47,-61
25,451,641,-190,23,-113,136
26,691,644,47,-145,-41,-104
27,787,733,54,-105,-163,58
28,924,1013,-89,-187,-227,40
29,1139,1030,109,-234,-157,-77
30,1108,1157,-49,-169,-218,49
31,1259,1299,-40,-235,-166,-69
32,1427,1420,7,-206,-219,13
33,1529,1623,-94,-221,-294,73
34,1696,1658,38,-219,-229,10
35,1688,1772,-84,-142,-273,131
36,1785,1834,-49,-215,-233,18
37,1878,1850,28,-203,-213,10
38,1909,2041,-132,-233,-258,25
39,2119,2070,49,-304,-242,-62
40,2185,2142,43,-244,-313,69
41,2201,2232,-31,-309,-281,-28
42,2190,2169,21,-308,-260,-48
43,2150,2243,-93,-264,-305,41
44,2310,2235,75,-307,-238,-69
45,2294,2236,58,-269,-307,38
46,2251,2307,-56,-319,-328,9
47,2307,2247,60,-322,-290,-32
48,2212,2283,-71,-275,-365,90
49,2248,2243,5,-320,-287,-33
50,2233,2188,45,-267,-270,3
51,2148,2207,-59,-326,-325,-1
52,2180,2071,109,-383,-324,-59
53,2088,2093,-5,-318,-370,52
54,2046,2069,-23,-351,-272,-79
55,1961,1895,66,-271,-240,-31
56,1832,1862,-30,-248,-282,34
57,1828,1732,96,-299,-228,-71
58,1673,1665,8,-215,-296,81
59,1616,1591,25,-241,-259,18
60,1547,1405,142,-194,-185,-9
61,1316,1405,-89,-125,-195,70
62,1301,1299,2,-157,-113,-44
63,1208,1169,39,-100,-155,55
64,1091,1064,27,-147,-155,8
65,1018,844,174,-115,-94,-21
66,758,764,-6,-25,-100,75
67,608,568,40,-99,-29,-70
68,446,422,24,-81,-104,23
69,307,418,-111,-70,-88,18
70,224,183,41,-17,43,-60
71,7,54,-47,50,-34,84
72,-17,-66,49,-8,0,-8
73,-134,-274,140,59,31,28
74,-382,-398,16,22,7,15
75,-450,-582,132,-19,60,-79
76,-625,-597,-28,111,49,62
77,-745,-706,-39,108,158,-50
78,-893,-960,67,177,202,-25
79,-1086,-989,-97,217,157,60
80,-1070,-1120,50,164,207,-43
81,-1219,-1256,37,223,150,73
82,-1382,-1379,-3,195,211,-16
83,-1489,-1583,94,212,284,-72
84,-1655,-1617,-38,209,219,-10
85,-1647,-1731,84,133,263,-130
86,-1745,-1793,48,205,224,-19
87,-1837,-1809,-28,193,202,-9
88,-1868,-1999,131,224,246,-22
89,-2078,-2029,-49,293,232,61
90,-2144,-2103,-41,233,303,-70
91,-2160,-2191,31,300,270,30
92,-2148,-2127,-21,298,248,50
93,-2109,-2202,93,253,295,-42
94,-2269,-2195,-74,296,228,68
95,-2254,-2195,-59,259,298,-39
96,-2211,-2266,55,309,318,-9
97,-2266,-2206,-60,312,281,31
98,-2172,-2242,70,265,355,-90
99,-2207,-2202,-5,310,278,32
100,-2192,-2147,-45,257,259,-2
101,-2107,-2165,58,316,314,2
102,-2139,-2030,-109,373,313,60
103,-2047,-2051,4,308,359,-51
104,-2005,-2027,22,340,261,79
105,-1920,-1854,-66,260,230,30
106,-1792,-1820,28,237,273,-36
107,-1787,-1692,-95,288,218,70
108,-1633,-1625,-8,205,285,-80
109,-1575,-1550,-25,230,248,-18
110,-1507,-1365,-142,184,174,10
111,-1276,-1364,88,116,183,-67
112,-1259,-1259,0,147,102,45
113,-1167,-1127,-40,90,144,-54
114,-1050,-1022,-28,136,144,-8
115,-977,-802,-175,104,84,20
116,-717,-722,5,13,90,-77
117,-568,-528,-40,88,18,70
118,-405,-382,-23,71,92,-21
119,-265,-377,112,60,78,-18
120,-184,-142,-42,7,-53,60
121,34,-13,47,-62,22,-84
122,58,107,-49,-3,-11,8
123,175,315,-140,-69,-41,-28
124,422,439,-17,-33,-16,-17
125,490,622,-132,8,-70,78
126,666,637,29,-122,-59,-63
127,787,747,40,-118,-169,51
128,935,1003,-68,-187,-212,25
129,1128,1030,98,-228,-166,-62
130,1111,1159,-48,-175,-218,43
131,1260,1296,-36,-234,-162,-72
132,1424,1420,4,-205,-221,16
133,1530,1623,-93,-222,-293,71
134,1695,1658,37,-218,-228,10
135,1688,1772,-84,-142,-273,131
136,1785,1835,-50,-216,-233,17
137,1878,1850,28,-203,-213,10
138,1909,2041,-132,-233,-259,26
139,2119,2070,49,-304,-242,-62
140,2185,2142,43,-244,-313,69
141,2201,2232,-31,-309,-281,-28
142,2190,2169,21,-308,-260,-48
143,2150,2243,-93,-264,-305,41
144,2310,2235,75,-307,-238,-69
145,2294,2236,58,-269,-307,38
146,2251,2307,-56,-319,-328,9
147,2307,2247,60,-322,-290,-32
148,2212,2283,-71,-275,-365,90
149,2248,2243,5,-320,-287,-33
150,2233,2188,45,-267,-270,3
151,2148,2207,-59,-326,-325,-1
152,2180,2071,109,-383,-324,-59
153,2088,2093,-5,-318,-370,52
154,2046,2069,-23,-351,-272,-79
155,1961,1895,66,-271,-240,-31
156,1832,1862,-30,-248,-282,34
157,1828,1732,96,-299,-228,-71
158,1673,1665,8,-215,-296,81
