idx,rtl_i,py_i,err_i,rtl_q,py_q,err_q
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,-1,0,-1,-1,0,-1
4,-1,0,-1,-1,0,-1
5,0,0,0,-1,0,-1
6,0,0,0,-1,-1,0
7,0,0,0,0,-1,1
8,-1,0,-1,0,0,0
9,0,0,0,-2,0,-2
10,-1,0,-1,0,-1,1
11,-1,0,-1,0,0,0
12,1,-1,2,-3,1,-4
13,-2,-1,-1,2,-2,4
14,-1,1,-2,0,0,0
15,4,-2,6,-5,1,-6
16,-5,-2,-3,5,-6,11
17,1,3,-2,-3,4,-7
18,7,-3,10,-7,1,-8
19,-32,-3,-29,16,-11,27
20,-5,8,-13,-73,14,-87
21,189,-9,198,-248,-7,-241
22,393,28,365,-206,-48,-158
23,392,127,265,-47,60,-107
24,274,100,174,-157,101,-258
25,267,128,139,-216,-125,-91
26,207,405,-198,173,-128,301
27,1,375,-374,409,391,18
28,81,-33,114,68,690,-622
29,376,-55,431,-278,207,-485
30,354,45,309,-280,-324,44
31,205,-284,489,-95,-184,89
32,233,-323,556,117,108,9
33,223,94,129,122,-20,142
34,137,143,-6,-29,-258,229
35,73,-45,118,-46,-296,250
36,2,-20,22,45,-211,256
37,-13,-22,9,150,-88,238
38,0,-42,42,278,-70,348
39,-33,62,-95,359,-84,443
40,11,15,-4,317,145,172
41,100,-194,294,116,277,-161
42,34,-184,218,-110,33,-143
43,-171,64,-235,-228,-130,-98
44,-364,123,-487,-289,-221,-68
45,-324,-85,-239,-246,-390,144
46,77,-97,174,-106,-211,105
47,449,168,281,-27,6,-33
48,403,305,98,87,-146,233
49,134,216,-82,297,-41,338
50,-150,-7,-143,331,315,16
51,-335,-291,-44,88,258,-170
52,-191,-365,174,-98,58,-156
53,80,-152,232,-44,93,-137
54,124,80,44,-79,18,-97
55,47,199,-152,-259,-219,-40
56,-85,258,-343,-194,-215,21
57,-141,276,-417,16,-50,66
58,185,171,14,91,-44,135
59,505,82,423,117,14,103
60,320,307,13,81,222,-141
61,-8,533,-541,21,233,-212
62,-100,269,-369,74,141,-67
63,-20,-120,100,70,208,-138
64,75,-144,219,4,234,-230
65,-32,123,-155,102,209,-107
66,-266,412,-678,189,255,-66
67,-333,318,-651,42,150,-108
68,-239,-122,-117,-100,-41,-59
69,-116,-225,109,-119,-82,-37
70,-44,-42,-2,-192,-85,-107
71,-52,-155,103,-132,-36,-96
72,-128,-218,90,59,178,-119
73,-297,65,-362,-78,348,-426
74,-298,121,-419,-181,297,-478
75,-41,23,-64,155,91,64
76,-61,266,-327,250,-82,332
77,-210,367,-577,140,-46,186
78,193,89,104,343,65,278
79,613,77,536,283,20,263
80,399,256,143,-42,-108,66
81,110,204,-94,-9,-171,162
82,66,144,-78,-113,-216,103
83,54,58,-4,-405,-237,-168
84,204,-142,346,-36,-17,-19
85,281,-46,327,540,450,90
86,-50,240,-290,364,621,-257
87,-252,163,-415,-157,177,-334
88,-3,-180,177,-303,-255,-48
89,244,-293,537,-237,-219,-18
90,258,-52,310,-248,-162,-86
91,102,203,-101,-219,-251,32
92,-35,173,-208,-171,-268,97
93,27,25,2,-114,-290,176
94,36,-27,63,108,-159,267
95,-94,-91,-3,204,140,64
96,-25,-164,139,96,104,-8
97,139,-7,146,290,-33,323
98,67,328,-261,506,203,303
99,-204,389,-593,265,294,-29
100,-358,76,-434,119,12,107
101,-95,-57,-38,202,-60,262
102,298,174,124,38,56,-18
103,353,238,115,-74,-22,-52
104,274,95,179,76,-33,109
105,138,92,46,68,214,-146
106,-280,-20,-260,-112,345,-457
107,-520,-201,-319,-214,159,-373
108,-276,53,-329,-127,-141,14
109,-12,404,-416,142,-163,305
110,142,344,-202,170,192,-22
111,253,189,64,-75,288,-363
112,185,177,8,72,-16,88
113,194,177,17,374,-58,432
114,323,229,94,110,-44,154
115,151,329,-178,-246,-297,51
116,-64,261,-325,-206,-234,28
117,29,135,-106,-196,-20,-176
118,-5,205,-210,-214,-127,-87
119,-199,201,-400,104,-38,142
120,-99,90,-189,479,279,200
121,24,322,-298,483,243,240
122,-219,426,-645,183,81,102
123,-369,-21,-348,4,136,-132
124,-37,-133,96,83,172,-89
125,240,102,138,27,42,-15
126,99,-163,262,-148,-47,-101
127,121,-295,416,13,59,-46
128,422,148,274,222,137,85
129,296,169,127,72,2,70
130,-158,-209,51,-3,-110,107
131,-284,-165,-119,151,-36,187
132,-170,10,-180,147,117,30
133,-140,12,-152,2,164,-162
134,-125,86,-211,-105,-49,-56
135,-25,89,-114,-73,-207,134
136,133,17,116,9,-26,35
137,261,82,179,-185,-27,-158
138,218,56,162,-321,-286,-35
139,40,-101,141,-90,-108,18
140,-46,-159,113,-92,219,-311
141,-6,-158,152,-224,74,-298
142,-4,-182,178,-63,-46,-17
143,-53,-408,355,-144,141,-285
144,-59,-707,648,-225,209,-434
145,18,-447,465,215,150,65
146,129,95,34,357,68,289
147,174,194,-20,246,-25,271
148,115,312,-197,581,87,494
149,-31,598,-629,348,145,203
150,-140,254,-394,-584,-188,-396
151,-38,-276,238,-571,-344,-227
152,69,-139,208,36,42,-6
153,-77,-35,-42,-81,417,-498
154,-146,-394,248,-318,493,-811
155,97,-397,494,-111,396,-507
156,248,-18,266,70,201,-131
157,184,61,123,115,187,-72
158,232,15,217,77,375,-298
159,220,100,120,-5,339,-344
160,-167,-10,-157,31,83,-52
161,-480,-214,-266,111,-45,156
162,-282,-140,-142,101,11,90
163,-25,-75,50,-14,84,-98
164,-160,-295,135,-67,54,-121
165,-349,-354,5,125,25,100
166,-259,8,-267,272,53,219
167,-125,250,-375,78,-21,99
168,-64,76,-140,-142,-99,-43
169,66,-9,75,3,33,-30
170,163,91,72,270,234,36
171,245,-53,298,178,194,-16
