bin,out_i,out_q
0,-2,-2
1,-2,-3
2,-2,-3
3,-1,-3
4,-1,-2
5,-1,-3
6,-1,-3
7,-1,-3
8,-1,-2
9,0,-2
10,0,-3
11,1,-3
12,1,-3
13,0,-2
14,1,-3
15,2,-2
16,2,-3
17,2,-2
18,3,-1
19,3,-1
20,3,-1
21,4,-1
22,4,-1
23,3,0
24,2,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,0,2
31,0,2
32,0,1
33,0,1
34,-1,2
35,-2,2
36,-2,2
37,-3,1
38,-3,0
39,-3,0
40,-2,0
41,-2,0
42,-2,0
43,-2,-1
44,-3,-1
45,-4,-2
46,-4,-3
47,-3,-4
48,-2,-4
49,-3,-3
50,-3,-3
51,-2,-3
52,-1,-3
53,0,-2
54,-1,-3
55,0,-4
56,0,-4
57,1,-5
58,1,-4
59,1,-4
60,1,-3
61,2,-3
62,2,-3
63,2,-2
64,2,-2
65,2,-2
66,3,-1
67,3,0
68,3,1
69,2,1
70,0,0
71,0,0
72,1,0
73,1,1
74,1,1
75,1,2
76,0,2
77,-1,2
78,-1,2
79,-1,1
80,-1,0
81,-2,1
82,-3,2
83,-3,1
84,-4,0
85,-4,0
86,-3,-1
87,-3,-1
88,-3,0
89,-3,-1
90,-3,-1
91,-4,-2
92,-2,-2
93,-3,-1
94,-3,-1
95,-4,-2
96,-4,-3
97,-3,-3
98,-2,-4
99,-2,-3
100,-2,-3
101,-1,-4
102,-1,-4
103,0,-4
104,0,-4
105,0,-4
106,0,-4
107,1,-3
108,1,-2
109,1,-1
110,1,-1
111,1,0
112,1,-1
113,2,0
114,3,1
115,3,1
116,2,2
117,1,1
118,0,2
119,0,1
120,0,1
121,-1,1
122,-1,1
123,0,1
124,-1,1
125,-1,1
126,-2,2
127,-3,2
128,-4,1
129,-4,0
130,-3,0
131,-3,-1
132,-3,-1
133,-3,-1
134,-3,-1
135,-4,-1
136,-3,-2
137,-3,-2
138,-3,-3
139,-3,-3
140,-3,-4
141,-3,-5
142,-2,-6
143,-1,-5
144,0,-4
145,0,-4
146,0,-3
147,0,-3
148,0,-3
149,0,-3
150,0,-3
151,0,-3
152,1,-3
153,1,-3
154,2,-2
155,2,-1
156,1,0
157,1,-1
158,1,-1
159,2,0
160,2,0
161,1,1
162,2,1
163,2,1
164,1,1
165,1,1
166,0,1
167,-1,1
168,-2,1
169,-2,1
170,-2,1
171,-2,1
172,-3,1
173,-3,0
174,-2,0
175,-3,0
176,-4,0
177,-4,-1
178,-4,-2
179,-4,-3
180,-3,-3
181,-3,-3
182,-3,-3
183,-2,-3
184,-2,-4
185,-2,-3
186,-2,-4
187,-2,-5
188,-1,-5
189,0,-5
190,-1,-5
191,-1,-5
192,-1,-5
193,0,-5
194,1,-4
195,2,-4
196,2,-3
197,2,-2
198,1,-2
199,2,-2
200,2,-1
201,1,0
202,1,-1
203,1,-1
204,1,-1
205,1,-1
206,2,-1
207,3,0
208,2,1
209,1,1
210,1,1
211,0,0
212,0,0
213,-1,0
214,0,0
215,1,1
216,0,2
217,-2,2
218,-3,1
219,-3,1
220,-3,0
221,-3,0
222,-2,-1
223,-3,-1
224,-3,-2
225,-2,-2
226,-3,-2
227,-2,-2
228,-2,-3
229,-1,-3
230,-1,-3
231,-1,-3
232,-1,-3
233,-1,-3
234,-1,-3
235,0,-4
236,0,-4
237,1,-3
238,0,-3
239,1,-4
240,1,-3
241,1,-3
242,1,-2
243,1,-2
244,2,-1
245,2,-1
246,2,-1
247,2,0
248,1,-1
249,1,-1
250,1,0
251,0,0
252,0,0
253,0,0
254,1,0
255,1,1
256,1,2
257,1,1
258,0,1
259,-1,1
260,-2,0
261,-2,0
262,-2,0
263,-2,0
264,-2,-1
265,-2,0
266,-2,-1
267,-3,0
268,-4,0
269,-4,-1
270,-3,-2
271,-3,-3
272,-3,-3
273,-4,-3
274,-4,-3
275,-3,-4
276,-2,-3
277,-2,-3
278,-2,-2
279,-2,-2
280,-2,-2
281,-2,-3
282,-1,-3
283,0,-4
284,1,-4
285,2,-3
286,2,-2
287,1,-2
288,1,-2
289,1,-2
290,1,-1
291,0,-1
292,1,-1
293,1,-1
294,1,0
295,1,0
296,1,0
297,1,1
298,1,2
299,1,2
300,1,2
301,1,3
302,-1,3
303,-2,3
304,-3,2
305,-2,1
306,-3,1
307,-3,1
308,-3,1
309,-3,1
310,-4,-1
311,-4,0
312,-5,-1
313,-4,-2
314,-3,-3
315,-2,-3
316,-2,-2
317,-2,-3
318,-2,-3
319,-2,-2
320,-2,-2
321,-2,-2
322,-1,-2
323,-1,-2
324,-1,-3
325,0,-2
326,0,-3
327,0,-3
328,1,-3
329,0,-4
330,1,-4
331,1,-3
332,1,-3
333,2,-2
334,1,-1
335,1,-1
336,2,0
337,1,1
338,2,0
339,1,0
340,2,1
341,2,1
342,1,2
343,1,3
344,0,3
345,-1,2
346,-1,2
347,-2,1
348,-2,1
349,-3,0
350,-3,0
351,-3,0
352,-3,0
353,-3,1
354,-3,-1
355,-2,-1
356,-2,-2
357,-2,-1
358,-2,-2
359,-3,-2
360,-3,-2
361,-2,-3
362,-2,-3
363,-1,-2
364,-1,-2
365,-2,-3
366,-2,-3
367,-1,-4
368,-1,-4
369,-1,-4
370,0,-3
371,0,-3
372,0,-3
373,0,-4
374,1,-4
375,1,-3
376,1,-2
377,1,-2
378,2,-1
379,1,0
380,1,1
381,1,0
382,2,0
383,2,0
384,2,1
385,1,2
386,1,2
387,0,2
388,0,2
389,-1,1
390,-1,1
391,-2,1
392,-2,1
393,-3,1
394,-4,1
395,-4,1
396,-4,0
397,-3,0
398,-3,0
399,-2,-1
400,-2,-1
401,-2,0
402,-2,-1
403,-3,-1
404,-3,-2
405,-3,-3
406,-3,-3
407,-3,-3
408,-3,-3
409,-3,-3
410,-3,-3
411,-2,-3
412,-1,-3
413,-1,-2
414,0,-3
415,0,-2
416,0,-2
417,0,-3
418,1,-3
419,2,-3
420,2,-2
421,1,-1
422,1,-1
423,1,-2
424,1,-2
425,1,-2
426,1,-1
427,1,0
428,1,1
429,1,2
430,1,2
431,0,1
432,0,1
433,-1,2
434,-1,1
435,-2,1
436,-2,1
437,-2,1
438,-2,1
439,-2,1
440,-2,1
441,-2,1
442,-3,2
443,-4,1
444,-4,0
445,-5,-1
446,-4,-1
447,-4,-1
448,-4,-1
449,-4,-2
450,-4,-2
451,-3,-3
452,-2,-3
453,-2,-4
454,-2,-4
455,-2,-4
456,-2,-3
457,-2,-4
458,-2,-4
459,-1,-4
460,1,-4
461,1,-4
462,1,-4
463,2,-5
464,2,-4
465,2,-3
466,1,-3
467,2,-2
468,1,-2
469,1,-2
470,2,-1
471,3,-1
472,2,-1
473,1,-1
474,1,0
475,1,0
476,1,1
477,1,1
478,1,1
479,0,1
480,0,1
481,-1,0
482,-1,-1
483,-2,0
484,-1,1
485,-2,1
486,-2,1
487,-2,1
488,-2,1
489,-3,0
490,-3,-1
491,-3,-1
492,-3,-1
493,-3,-2
494,-3,-2
495,-4,-2
496,-4,-3
497,-3,-3
498,-3,-4
499,-2,-3
500,-2,-4
501,-1,-4
502,-1,-3
503,-1,-3
504,0,-3
505,0,-3
506,-1,-3
507,0,-3
508,0,-2
509,0,-2
510,0,-2
511,1,-2
512,1,-2
513,2,-1
514,1,-1
515,2,-1
516,1,0
517,1,2
518,0,2
519,-1,2
520,-1,2
521,-1,2
522,-1,2
523,0,1
524,0,1
525,-2,2
526,-2,2
527,-3,2
528,-2,1
529,-3,1
530,-3,0
531,-3,0
532,-3,1
533,-3,-1
534,-3,-1
535,-3,-2
536,-3,-1
537,-3,-2
538,-4,-3
539,-3,-3
540,-2,-3
541,-2,-3
542,-2,-3
543,-2,-3
544,-2,-3
545,-2,-2
546,-2,-3
547,-1,-3
548,0,-3
549,-1,-2
550,0,-2
551,0,-2
552,1,-2
553,1,-1
554,0,-1
555,-1,-1
556,0,-1
557,0,-1
558,0,0
559,0,0
560,1,0
561,1,1
562,1,1
563,1,0
564,1,0
565,0,1
566,0,1
567,0,1
568,-1,2
569,-1,2
570,-1,2
571,-2,2
572,-2,1
573,-2,1
574,-2,1
575,-3,0
576,-2,0
577,-2,0
578,-3,0
579,-3,0
580,-4,-1
581,-4,-1
582,-4,-1
583,-4,-1
584,-3,-1
585,-4,0
586,-4,0
587,-4,-1
588,-3,-2
589,-3,-2
590,-2,-2
591,-2,-3
592,-1,-3
593,-2,-3
594,-1,-3
595,0,-3
596,0,-3
597,0,-4
598,0,-3
599,1,-3
600,1,-3
