bin,out_i,out_q
0,32,0
1,31,0
2,31,1
3,31,2
4,31,3
5,31,4
6,31,5
7,31,6
8,31,7
9,30,8
10,30,9
11,30,10
12,29,11
13,29,12
14,29,13
15,28,14
16,28,15
17,27,15
18,27,16
19,26,17
20,26,18
21,25,19
22,24,19
23,24,20
24,23,21
25,23,22
26,22,22
27,21,23
28,20,24
29,20,24
30,19,25
31,18,26
32,17,26
33,16,27
34,16,27
35,15,28
36,14,28
37,13,29
38,12,29
39,11,29
40,10,30
41,9,30
42,8,30
43,7,30
44,7,31
45,6,31
46,5,31
47,4,31
48,3,31
49,2,31
50,1,31
51,0,31
52,-1,31
53,-2,31
54,-3,31
55,-4,31
56,-5,31
57,-6,31
58,-7,31
59,-8,31
60,-9,30
61,-10,30
62,-11,30
63,-12,29
64,-13,29
65,-14,29
66,-15,28
67,-15,28
68,-16,27
69,-17,27
70,-18,26
71,-19,26
72,-20,25
73,-20,25
74,-21,24
75,-22,23
76,-23,23
77,-23,22
78,-24,21
79,-25,21
80,-25,20
81,-26,19
82,-26,18
83,-27,17
84,-28,17
85,-28,16
86,-29,15
87,-29,14
88,-29,13
89,-30,12
90,-30,11
91,-31,10
92,-31,10
93,-31,9
94,-31,8
95,-32,7
96,-32,6
97,-32,5
98,-32,4
99,-32,3
100,-32,2
101,-32,1
102,-32,0
103,-32,-1
104,-32,-2
105,-32,-3
106,-32,-4
107,-32,-5
108,-32,-6
109,-32,-7
110,-32,-8
111,-31,-9
112,-31,-10
113,-31,-11
114,-30,-12
115,-30,-13
116,-30,-13
117,-29,-14
118,-29,-15
119,-28,-16
120,-28,-17
121,-27,-18
122,-27,-19
123,-26,-19
124,-26,-20
125,-25,-21
126,-24,-22
127,-24,-22
128,-23,-23
129,-22,-24
130,-22,-24
131,-21,-25
132,-20,-26
133,-19,-26
134,-19,-27
135,-18,-27
136,-17,-28
137,-16,-28
138,-15,-29
139,-14,-29
140,-13,-30
141,-13,-30
142,-12,-30
143,-11,-31
144,-10,-31
145,-9,-31
146,-8,-32
147,-7,-32
148,-6,-32
149,-5,-32
150,-4,-32
151,-3,-32
152,-2,-32
153,-1,-32
154,0,-33
155,1,-32
156,2,-32
157,3,-32
158,4,-32
159,5,-32
160,6,-32
161,7,-32
162,8,-31
163,9,-31
164,10,-31
165,10,-31
166,11,-30
167,12,-30
168,13,-29
169,14,-29
170,15,-29
171,16,-28
172,17,-28
173,17,-27
174,18,-26
175,19,-26
176,20,-25
177,21,-25
178,21,-24
179,22,-23
180,23,-23
181,23,-22
182,24,-21
183,25,-20
184,25,-20
185,26,-19
186,26,-18
187,27,-17
188,27,-16
189,28,-15
190,28,-15
191,29,-14
192,29,-13
193,29,-12
194,30,-11
195,30,-10
196,30,-9
197,31,-8
198,31,-7
199,31,-6
200,31,-5
201,31,-4
202,31,-3
203,31,-2
204,31,-1
205,31,0
206,31,1
207,31,2
208,31,3
209,31,4
210,31,5
211,31,6
212,31,7
213,30,7
214,30,8
215,30,9
216,30,10
217,29,11
218,29,12
219,29,13
220,28,14
221,28,15
222,27,16
223,27,16
224,26,17
225,26,18
226,25,19
227,24,20
228,24,20
229,23,21
230,22,22
231,22,23
232,21,23
233,20,24
234,19,24
235,19,25
236,18,26
237,17,26
238,16,27
239,15,27
240,15,28
241,14,28
242,13,29
243,12,29
244,11,29
245,10,30
246,9,30
247,8,30
248,7,31
249,6,31
250,5,31
251,4,31
252,3,31
253,2,31
254,1,31
255,0,31
256,0,31
257,-1,31
258,-2,31
259,-3,31
260,-4,31
261,-5,31
262,-6,31
263,-7,31
264,-8,31
265,-9,30
266,-10,30
267,-11,30
268,-12,29
269,-13,29
270,-14,29
271,-15,28
272,-16,28
273,-16,27
274,-17,27
275,-18,26
276,-19,26
277,-20,25
278,-20,24
279,-21,24
280,-22,23
281,-23,23
282,-23,22
283,-24,21
284,-25,20
285,-25,20
286,-26,19
287,-27,18
288,-27,17
289,-28,16
290,-28,16
291,-29,15
292,-29,14
293,-30,13
294,-30,12
295,-30,11
296,-31,10
297,-31,9
298,-31,8
299,-31,7
300,-32,7
301,-32,6
302,-32,5
303,-32,4
304,-32,3
305,-32,2
306,-32,1
307,-32,0
308,-32,-1
309,-32,-2
310,-32,-3
311,-32,-4
312,-32,-5
313,-32,-6
314,-32,-7
315,-32,-8
316,-31,-9
317,-31,-10
318,-31,-11
319,-30,-12
320,-30,-13
321,-30,-14
322,-29,-15
323,-29,-15
324,-28,-16
325,-28,-17
326,-27,-18
327,-27,-19
328,-26,-20
329,-26,-20
330,-25,-21
331,-24,-22
332,-24,-23
333,-23,-23
334,-22,-24
335,-22,-25
336,-21,-25
337,-20,-26
338,-19,-26
339,-18,-27
340,-18,-28
341,-17,-28
342,-16,-29
343,-15,-29
344,-14,-29
345,-13,-30
346,-12,-30
347,-11,-31
348,-11,-31
349,-10,-31
350,-9,-31
351,-8,-32
352,-7,-32
353,-6,-32
354,-5,-32
355,-4,-32
356,-3,-32
357,-2,-32
358,-1,-32
359,0,-32
360,1,-32
361,2,-32
362,3,-32
363,4,-32
364,5,-32
365,6,-32
366,7,-32
367,8,-31
368,9,-31
369,10,-31
370,11,-30
371,12,-30
372,12,-30
373,13,-29
374,14,-29
375,15,-28
376,16,-28
377,17,-27
378,18,-27
379,18,-26
380,19,-26
381,20,-25
382,21,-24
383,21,-24
384,22,-23
385,23,-22
386,23,-22
387,24,-21
388,25,-20
389,25,-19
390,26,-19
391,26,-18
392,27,-17
393,27,-16
394,28,-15
395,28,-14
396,29,-13
397,29,-13
398,29,-12
399,30,-11
400,30,-10
401,30,-9
402,31,-8
403,31,-7
404,31,-6
405,31,-5
406,31,-4
407,31,-3
408,31,-2
409,31,-1
410,31,0
411,31,1
412,31,2
413,31,3
414,31,4
415,31,5
416,31,6
417,31,7
418,30,8
419,30,9
420,30,10
421,30,10
422,29,11
423,29,12
424,28,13
425,28,14
426,28,15
427,27,16
428,27,17
429,26,17
430,25,18
431,25,19
432,24,20
433,24,21
434,23,21
435,22,22
436,22,23
437,21,23
438,20,24
439,19,25
440,19,25
441,18,26
442,17,26
443,16,27
444,15,27
445,14,28
446,14,28
447,13,29
448,12,29
449,11,29
450,10,30
451,9,30
452,8,30
453,7,31
454,6,31
455,5,31
456,4,31
457,3,31
458,2,31
459,1,31
460,0,31
461,-1,31
462,-2,31
463,-3,31
464,-4,31
465,-5,31
466,-6,31
467,-7,31
468,-8,31
469,-8,30
470,-9,30
471,-10,30
472,-11,30
473,-12,29
474,-13,29
475,-14,29
476,-15,28
477,-16,28
478,-17,27
479,-17,27
480,-18,26
481,-19,26
482,-20,25
483,-21,24
484,-21,24
485,-22,23
486,-23,22
487,-24,22
488,-24,21
489,-25,20
490,-25,19
491,-26,19
492,-27,18
493,-27,17
494,-28,16
495,-28,15
496,-29,15
497,-29,14
498,-30,13
499,-30,12
500,-30,11
501,-31,10
502,-31,9
503,-31,8
504,-32,7
505,-32,6
506,-32,5
507,-32,4
508,-32,3
509,-32,2
510,-32,1
511,-32,0
512,-32,0
513,-32,-1
514,-32,-2
515,-32,-3
516,-32,-4
517,-32,-5
518,-32,-6
519,-32,-7
520,-32,-8
521,-31,-9
522,-31,-10
523,-31,-11
524,-30,-12
525,-30,-13
526,-30,-14
527,-29,-15
528,-29,-16
529,-28,-16
530,-28,-17
531,-27,-18
532,-27,-19
533,-26,-20
534,-25,-20
535,-25,-21
536,-24,-22
537,-24,-23
538,-23,-23
539,-22,-24
540,-21,-25
541,-21,-25
542,-20,-26
543,-19,-27
544,-18,-27
545,-17,-28
546,-17,-28
547,-16,-29
548,-15,-29
549,-14,-29
550,-13,-30
551,-12,-30
552,-11,-31
553,-10,-31
554,-9,-31
555,-8,-31
556,-8,-32
557,-7,-32
558,-6,-32
559,-5,-32
560,-4,-32
561,-3,-32
562,-2,-32
563,-1,-32
564,0,-32
565,1,-32
566,2,-32
567,3,-32
568,4,-32
569,5,-32
570,6,-32
571,7,-32
572,8,-31
573,9,-31
574,10,-31
575,11,-30
576,12,-30
577,13,-30
578,14,-29
579,14,-29
580,15,-28
581,16,-28
582,17,-27
583,18,-27
584,19,-26
585,19,-26
586,20,-25
587,21,-24
588,22,-24
589,22,-23
590,23,-22
591,24,-22
592,24,-21
593,25,-20
594,25,-19
595,26,-18
596,27,-18
597,27,-17
598,28,-16
599,28,-15
600,28,-14
601,29,-13
602,29,-12
603,30,-11
604,30,-11
605,30,-10
606,30,-9
607,31,-8
608,31,-7
609,31,-6
610,31,-5
611,31,-4
612,31,-3
613,31,-2
614,31,-1
615,31,0
616,31,1
617,31,2
618,31,3
619,31,4
620,31,5
621,31,6
622,31,7
623,30,8
624,30,9
625,30,10
626,29,11
627,29,12
628,29,12
629,28,13
630,28,14
631,27,15
632,27,16
633,26,17
634,26,18
635,25,18
636,25,19
637,24,20
638,23,21
639,23,21
640,22,22
641,21,23
642,21,23
643,20,24
644,19,25
645,18,25
646,18,26
647,17,26
648,16,27
649,15,27
650,14,28
651,13,28
652,12,29
653,12,29
654,11,29
655,10,30
656,9,30
657,8,30
658,7,31
659,6,31
660,5,31
661,4,31
662,3,31
663,2,31
664,1,31
665,0,31
666,-1,32
667,-2,31
668,-3,31
669,-4,31
670,-5,31
671,-6,31
672,-7,31
673,-8,31
674,-9,30
675,-10,30
676,-11,30
677,-11,30
678,-12,29
679,-13,29
680,-14,28
681,-15,28
682,-16,28
683,-17,27
684,-18,27
685,-18,26
686,-19,25
687,-20,25
688,-21,24
689,-22,24
690,-22,23
691,-23,22
692,-24,22
693,-24,21
694,-25,20
695,-26,19
696,-26,19
697,-27,18
698,-27,17
699,-28,16
700,-28,15
701,-29,14
702,-29,14
703,-30,13
704,-30,12
705,-30,11
706,-31,10
707,-31,9
708,-31,8
709,-32,7
710,-32,6
711,-32,5
712,-32,4
713,-32,3
714,-32,2
715,-32,1
