bin,golden_i,golden_q
0,-5,3
1,-6,3
2,-6,2
3,-6,2
4,-6,2
5,-6,2
6,-6,1
7,-6,1
8,-6,1
9,-5,1
10,-5,1
11,-5,1
12,-5,1
13,-5,1
14,-6,1
15,-6,1
16,-6,1
17,-6,1
18,-6,1
19,-7,1
20,-7,0
21,-7,0
22,-6,0
23,-6,0
24,-6,0
25,-6,-1
26,-6,-1
27,-6,-1
28,-6,0
29,-6,0
30,-6,0
31,-6,0
32,-6,0
33,-7,0
34,-7,-1
35,-7,-1
36,-7,-1
37,-7,-2
38,-7,-2
39,-7,-2
40,-7,-2
41,-6,-2
42,-6,-3
43,-6,-3
44,-6,-2
45,-6,-2
46,-6,-2
47,-6,-2
48,-6,-2
49,-6,-2
50,-6,-2
51,-7,-2
52,-6,-2
53,-6,-2
54,-6,-2
55,-6,-2
56,-7,-2
57,-7,-3
58,-7,-3
59,-7,-3
60,-6,-3
61,-6,-3
62,-6,-3
63,-6,-4
64,-6,-4
65,-6,-4
66,-6,-4
67,-6,-4
68,-6,-4
69,-6,-4
70,-6,-4
71,-6,-4
72,-6,-4
73,-6,-5
74,-5,-5
75,-5,-5
76,-5,-5
77,-5,-5
78,-5,-5
79,-5,-5
80,-5,-5
81,-4,-5
82,-4,-5
83,-4,-5
84,-4,-5
85,-4,-5
86,-4,-5
87,-4,-5
88,-4,-6
89,-4,-6
90,-3,-6
91,-3,-5
92,-3,-5
93,-3,-5
94,-3,-5
95,-3,-5
96,-3,-5
97,-3,-5
98,-3,-6
99,-3,-6
100,-3,-6
101,-3,-6
102,-3,-6
103,-2,-6
104,-2,-6
105,-2,-6
106,-2,-6
107,-2,-6
108,-1,-6
109,-1,-6
110,-1,-6
111,-1,-6
112,-1,-6
113,-1,-6
114,-1,-6
115,-1,-6
116,-1,-6
117,-1,-6
118,-1,-6
119,-1,-6
120,0,-6
121,0,-6
122,0,-6
123,0,-6
124,0,-6
125,0,-6
126,0,-6
127,0,-6
128,0,-6
129,0,-6
130,0,-6
131,0,-6
132,1,-6
133,1,-7
134,1,-7
135,1,-6
136,2,-6
137,2,-6
138,2,-6
139,2,-6
140,2,-6
141,2,-6
142,2,-6
143,2,-6
144,2,-6
145,2,-6
146,2,-6
147,3,-6
148,3,-6
149,3,-6
150,3,-6
151,3,-6
152,3,-6
153,3,-6
154,3,-5
155,3,-5
156,3,-5
157,3,-5
158,3,-5
159,4,-5
160,4,-5
161,4,-5
162,4,-5
163,4,-5
164,4,-5
165,4,-5
166,4,-5
167,4,-5
168,4,-4
169,4,-4
170,5,-4
171,5,-4
172,5,-4
173,5,-3
174,4,-3
175,4,-3
176,4,-3
177,4,-3
178,4,-3
179,4,-3
180,4,-3
