sample_idx,baseband_i,baseband_q
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,-1,-1
9,-1,-1
10,0,-1
11,0,0
12,-1,0
13,0,-1
14,0,0
15,-1,0
16,0,-1
17,0,0
18,-1,-1
19,1,-2
20,-1,2
21,-2,-2
22,3,-2
23,-5,5
24,-5,-17
25,20,-40
26,26,-17
27,16,0
28,21,-8
29,22,-6
30,19,-4
31,21,-7
32,20,-5
33,20,-5
34,21,-6
35,20,-5
36,20,-5
37,20,-5
38,20,-6
39,21,-6
40,20,-6
41,20,-5
42,20,-5
43,20,-6
44,21,-6
45,20,-6
46,20,-5
47,20,-5
48,20,-6
49,21,-6
50,20,-6
51,20,-5
52,20,-5
53,20,-6
54,21,-6
55,20,-6
56,20,-5
57,20,-5
58,20,-6
59,21,-6
60,20,-6
61,20,-5
62,20,-5
63,20,-6
64,21,-6
65,20,-6
66,20,-5
67,20,-5
68,20,-6
69,21,-6
70,20,-6
71,20,-5
72,20,-5
73,20,-6
74,21,-6
75,20,-6
76,20,-5
77,20,-5
78,20,-6
79,21,-6
80,20,-6
81,20,-5
82,20,-5
83,20,-6
84,21,-6
85,20,-6
86,20,-5
87,20,-5
88,20,-6
89,21,-6
90,20,-6
91,20,-5
92,20,-5
93,20,-6
94,21,-6
95,20,-6
96,20,-5
97,20,-5
98,20,-6
99,21,-6
100,20,-6
101,20,-5
102,20,-5
103,20,-6
104,21,-6
105,20,-6
106,20,-5
107,20,-5
108,20,-6
109,21,-6
110,20,-6
111,20,-5
112,20,-5
113,20,-6
114,21,-6
115,20,-6
116,20,-5
117,20,-5
118,20,-6
119,21,-6
120,20,-6
121,20,-5
122,20,-5
123,20,-6
124,21,-6
125,20,-6
126,20,-5
127,20,-5
128,20,-6
129,21,-6
130,20,-6
131,20,-5
132,20,-5
133,20,-6
134,21,-6
135,20,-6
136,20,-5
137,20,-5
138,20,-6
139,21,-6
140,20,-6
141,20,-5
142,20,-5
143,20,-6
144,21,-6
145,20,-6
146,20,-5
147,20,-5
148,20,-6
149,21,-6
150,20,-6
151,20,-5
152,20,-5
153,20,-6
154,21,-6
155,20,-6
156,20,-5
157,20,-5
158,20,-6
159,21,-6
160,20,-6
161,20,-5
162,20,-5
163,20,-6
164,21,-6
165,20,-6
166,20,-5
167,20,-5
168,20,-6
169,21,-6
170,20,-6
171,20,-5
172,20,-5
173,20,-6
174,21,-6
175,20,-6
176,20,-5
177,20,-5
178,20,-6
179,21,-6
180,20,-6
181,20,-5
182,20,-5
183,20,-6
184,21,-6
185,20,-6
186,20,-5
187,20,-5
188,20,-6
189,21,-6
190,20,-6
191,20,-5
192,20,-5
193,20,-6
194,21,-6
195,20,-6
196,20,-5
197,20,-5
198,20,-6
199,21,-6
200,20,-6
201,20,-5
202,20,-5
203,20,-6
204,21,-6
205,20,-6
206,20,-5
207,20,-5
208,20,-6
209,21,-6
210,20,-6
211,20,-5
212,20,-5
213,20,-6
214,21,-6
215,20,-6
216,20,-5
217,20,-5
218,20,-6
219,21,-6
220,20,-6
221,20,-5
222,20,-5
223,20,-6
224,21,-6
225,20,-6
226,20,-5
227,20,-5
228,20,-6
229,21,-6
230,20,-6
231,20,-5
232,20,-5
233,20,-6
234,21,-6
235,20,-6
236,20,-5
237,20,-5
238,20,-6
239,21,-6
240,20,-6
241,20,-5
242,20,-5
243,20,-6
244,21,-6
245,20,-6
246,20,-5
247,20,-5
248,20,-6
249,21,-6
250,20,-6
251,20,-5
252,20,-5
253,20,-6
254,21,-6
255,20,-6
256,20,-5
257,20,-5
258,20,-6
259,21,-6
260,20,-6
261,20,-5
262,20,-5
263,20,-6
264,21,-6
265,20,-6
266,20,-5
267,20,-5
268,20,-6
269,21,-6
270,20,-6
271,20,-5
272,20,-5
273,20,-6
274,21,-6
275,20,-6
276,20,-5
277,20,-5
278,20,-6
279,21,-6
280,20,-6
281,20,-5
282,20,-5
283,20,-6
284,21,-6
285,20,-6
286,20,-5
287,20,-5
288,20,-6
289,21,-6
290,20,-6
291,20,-5
292,20,-5
293,20,-6
294,21,-6
295,20,-6
296,20,-5
297,20,-5
298,20,-6
299,21,-6
300,20,-6
301,20,-5
302,20,-5
303,20,-6
304,21,-6
305,20,-6
306,20,-5
307,20,-5
308,20,-6
309,21,-6
310,20,-6
311,20,-5
312,20,-5
313,20,-6
314,21,-6
315,20,-6
316,20,-5
317,20,-5
318,20,-6
319,21,-6
320,20,-6
321,20,-5
322,20,-5
323,20,-6
324,21,-6
325,20,-6
326,20,-5
327,20,-5
328,20,-6
329,21,-6
330,20,-6
331,20,-5
332,20,-5
333,20,-6
334,21,-6
335,20,-6
336,20,-5
337,20,-5
338,20,-6
339,21,-6
340,20,-6
341,20,-5
342,20,-5
343,20,-6
344,21,-6
345,20,-6
346,20,-5
347,20,-5
348,20,-6
349,21,-6
350,20,-6
351,20,-5
352,20,-5
353,20,-6
354,21,-6
355,20,-6
356,20,-5
357,20,-5
358,20,-6
359,21,-6
360,20,-6
361,20,-5
362,20,-5
363,20,-6
364,21,-6
365,20,-6
366,20,-5
367,20,-5
368,20,-6
369,21,-6
370,20,-6
371,20,-5
372,20,-5
373,20,-6
374,21,-6
375,20,-6
376,20,-5
377,20,-5
378,20,-6
379,21,-6
380,20,-6
381,20,-5
382,20,-5
383,20,-6
384,21,-6
385,20,-6
386,20,-5
387,20,-5
388,20,-6
389,21,-6
390,20,-6
391,20,-5
392,20,-5
393,20,-6
394,21,-6
395,20,-6
396,20,-5
397,20,-5
398,20,-6
399,21,-6
400,20,-6
401,20,-5
402,20,-5
403,20,-6
404,21,-6
405,20,-6
406,20,-5
407,20,-5
408,20,-6
409,21,-6
410,20,-6
411,20,-5
412,20,-5
413,20,-6
414,21,-6
415,20,-6
416,20,-5
417,20,-5
418,20,-6
419,21,-6
420,20,-6
421,20,-5
422,20,-5
423,20,-6
424,21,-6
425,20,-6
426,20,-5
427,20,-5
428,20,-6
429,21,-6
430,20,-6
431,20,-5
432,20,-5
433,20,-6
434,21,-6
435,20,-6
436,20,-5
437,20,-5
438,20,-6
439,21,-6
440,20,-6
441,20,-5
442,20,-5
443,20,-6
444,21,-6
445,20,-6
446,20,-5
447,20,-5
448,20,-6
449,21,-6
450,20,-6
451,20,-5
452,20,-5
453,20,-6
454,21,-6
455,20,-6
456,20,-5
457,20,-5
458,20,-6
459,21,-6
460,20,-6
461,20,-5
462,20,-5
463,20,-6
464,21,-6
465,20,-6
466,20,-5
467,20,-5
468,20,-6
469,21,-6
470,20,-6
471,20,-5
472,20,-5
473,20,-6
474,21,-6
475,20,-6
476,20,-5
477,20,-5
478,20,-6
479,21,-6
480,20,-6
481,20,-5
482,20,-5
483,20,-6
484,21,-6
485,20,-6
486,20,-5
487,20,-5
488,20,-6
