sample_idx,baseband_i,baseband_q
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,-1,-1
8,-1,0
9,-1,-1
10,0,-1
11,0,0
12,-1,0
13,1,-2
14,0,0
15,-2,2
16,2,-4
17,-2,2
18,-2,2
19,5,-10
20,-6,8
21,0,2
22,10,-20
23,-40,39
24,-23,-31
25,204,-300
26,473,-282
27,508,-41
28,391,-197
29,380,-292
30,250,305
31,-67,666
32,65,157
33,522,-345
34,522,-362
35,307,-145
36,312,127
37,279,170
38,176,2
39,99,-47
40,-5,51
41,-32,232
42,-39,418
43,-110,510
44,-8,456
45,185,164
46,76,-155
47,-296,-292
48,-569,-367
49,-467,-298
50,36,-121
51,506,-40
52,540,178
53,276,517
54,-118,503
55,-438,116
56,-282,-160
57,139,-123
58,261,-205
59,91,-452
60,-186,-278
61,-267,109
62,206,170
63,664,88
64,423,2
65,-65,-39
66,-202,87
67,-11,118
68,158,59
69,-25,213
70,-353,297
71,-460,55
72,-357,-129
73,-139,-166
74,10,-316
75,-13,-233
76,-128,92
77,-409,-72
78,-471,-244
79,-41,194
80,-24,373
81,-277,111
82,279,245
83,791,465
84,605,-8
85,362,-168
86,-38,127
87,142,-751
88,572,-306
89,-195,1687
90,3266,-1003
91,14490,-5980
92,22795,-7357
93,22150,-8155
94,21002,-8996
95,22055,-8379
96,21723,-8457
97,21492,-8690
98,21869,-8436
99,21603,-8579
100,21620,-8578
101,21793,-8509
102,21673,-8543
103,21669,-8537
104,21669,-8575
105,21670,-8535
106,21714,-8550
107,21720,-8541
108,21694,-8532
109,21656,-8592
110,21703,-8550
111,21719,-8539
112,21714,-8557
113,21713,-8544
114,21562,-8600
115,21304,-8909
116,20974,-9331
117,20671,-9558
118,20231,-10089
119,19544,-10798
120,19166,-11103
121,18880,-11433
122,18215,-11987
123,17635,-12554
124,17251,-12952
125,16755,-13457
126,16058,-14301
127,15383,-14894
128,14870,-15372
129,14259,-15995
130,13672,-16556
131,13133,-17157
132,12384,-17788
133,11560,-18689
134,10732,-19572
135,10081,-20141
136,9505,-20839
137,8589,-21568
138,7685,-22507
139,6973,-23412
140,6338,-23833
141,5986,-24289
142,5850,-24514
143,5776,-24428
144,5729,-24447
145,5802,-24535
146,5779,-24517
147,5677,-24372
148,5931,-24603
149,5716,-24433
150,5391,-24275
151,5661,-25197
152,4841,-25246
153,3881,-25690
154,3578,-27519
155,2391,-28092
156,1677,-28822
157,1035,-29929
158,-294,-30357
159,-800,-31304
160,-1786,-31822
161,-2730,-32666
162,-3114,-33846
163,-4523,-34068
164,-5019,-35311
165,-5084,-36266
166,-6005,-35777
167,-5811,-35955
168,-5616,-36133
169,-5976,-35944
170,-5671,-35989
171,-5733,-36062
172,-6287,-35803
173,-7074,-34602
174,-8590,-33165
175,-10172,-31800
176,-11385,-30356
177,-12820,-29126
178,-14333,-27620
179,-15568,-26235
180,-17082,-24984
181,-18558,-23203
182,-19931,-21742
183,-21480,-20801
184,-21764,-19993
185,-21573,-19976
186,-21945,-20309
187,-21478,-19917
188,-21678,-19943
189,-22892,-19921
190,-23421,-18081
191,-24872,-16748
192,-26668,-15774
193,-27690,-13485
194,-29693,-12211
195,-31346,-10801
196,-32310,-8760
197,-34475,-7914
198,-35612,-6514
199,-35398,-5605
200,-36220,-5813
201,-36185,-5709
202,-35479,-5999
203,-36109,-5184
204,-34900,-3902
205,-32313,-2965
206,-31317,-561
207,-29458,974
208,-27311,2273
209,-26217,5072
210,-23772,6376
211,-22040,7286
212,-22293,8763
213,-21723,8623
214,-21396,8288
215,-21945,8884
216,-20868,9485
217,-18920,10905
218,-17253,13357
219,-14815,15350
220,-12591,17484
221,-10595,20040
222,-7996,21926
223,-6582,23717
224,-5834,24332
225,-5607,24333
226,-6313,25067
227,-4950,24164
228,-3725,25014
229,-3592,28224
230,-761,28626
231,860,30474
232,1351,33551
233,4584,33584
234,5535,35109
235,4803,36610
236,6059,35760
237,6107,35932
238,6093,35234
239,8515,33087
240,11243,30968
241,13437,28021
242,16156,25416
243,19139,23285
244,20629,20701
245,21430,19720
246,22216,20561
247,21292,19837
248,21798,18435
249,25295,17736
250,27263,14634
251,28940,11779
252,32716,10509
253,34640,7135
254,34782,5490
255,36293,5956
256,36524,5532
257,34468,6079
258,33405,3946
259,31499,-229
260,27638,-1619
261,25736,-4215
262,24365,-7387
263,21690,-7644
264,21274,-8135
265,22155,-9202
266,20492,-9622
267,17854,-11700
268,15621,-15381
269,12101,-17889
270,9124,-20647
271,7442,-23734
272,5478,-23969
273,6023,-24708
274,6245,-25813
275,2681,-25133
276,1543,-28371
277,596,-31739
278,-3699,-31736
279,-4671,-34817
280,-4344,-36884
281,-6157,-35600
282,-6768,-35537
283,-8221,-33485
284,-11598,-29693
285,-14889,-27270
286,-17946,-23964
287,-20060,-20637
288,-21742,-20443
289,-22291,-20624
290,-21850,-18039
291,-24593,-16329
292,-28829,-14530
293,-30729,-9683
294,-33210,-7460
295,-36480,-6875
296,-36370,-5320
297,-34508,-6148
298,-34041,-4174
299,-31735,573
300,-26976,2176
301,-24406,5170
302,-23436,9021
303,-21695,8628
304,-20662,8138
305,-19868,11081
306,-16399,14417
307,-11720,17292
308,-9157,21768
309,-6586,24026
310,-5119,23848
311,-6883,26051
312,-4449,26315
313,339,26853
314,516,32557
315,3004,34533
316,6894,33959
317,5761,36316
318,5937,35324
319,9469,31826
320,13039,29188
321,16846,24976
322,19632,20961
323,21576,20534
324,22685,20723
325,22761,17201
326,25854,14278
327,31178,12542
328,33536,7449
329,34298,5459
330,36401,6392
331,36342,3615
332,31938,1829
333,27844,-556
334,25644,-6494
335,23014,-8659
336,21030,-7615
337,20353,-9421
338,18369,-13180
339,13529,-15953
340,9356,-19902
341,7593,-24244
342,5038,-23642
343,4433,-24515
344,4796,-29307
345,-443,-29783
346,-4362,-31750
347,-3564,-36722
348,-5384,-36045
349,-7848,-33969
350,-9969,-32299
351,-14388,-27322
352,-18162,-22697
353,-21095,-21308
354,-22675,-20562
355,-22434,-17352
356,-25617,-14772
357,-31416,-12678
358,-34076,-7311
359,-34433,-5444
360,-35306,-6180
361,-34609,-2297
362,-30008,652
363,-25005,2828
364,-23143,7505
365,-22559,9564
366,-20104,9669
367,-16139,12675
368,-12724,18691
369,-8351,22200
370,-5432,23061
371,-6959,26521
372,-4298,27562
373,1952,27928
374,2547,34398
375,3424,37268
376,6829,34959
377,8110,34097
378,11919,30217
379,17298,23828
380,19987,20820
381,22500,21055
382,24338,18861
383,26168,13206
384,31287,10704
385,36299,8353
386,36394,4438
387,33148,4736
388,30225,1994
389,27123,-5302
390,23525,-7541
391,21156,-7250
392,19294,-10012
393,16377,-15194
394,10906,-19089
395,6473,-21977
396,6795,-26079
397,4384,-25881
398,-599,-26388
399,-1071,-34182
