sample_idx,baseband_i,baseband_q
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,-1,0
8,-1,0
9,-1,-1
10,0,-1
11,0,0
12,-1,0
13,1,-3
14,0,1
15,-3,3
16,4,-6
17,-2,3
18,-4,4
19,10,-15
20,-10,12
21,-1,4
22,21,-31
23,-69,69
24,-46,-22
25,330,-449
26,755,-442
27,819,-80
28,684,-390
29,672,-604
30,427,416
31,-73,1104
32,155,247
33,874,-635
34,856,-591
35,476,-187
36,444,156
37,423,157
38,351,-77
39,315,-122
40,191,57
41,112,370
42,7,668
43,-127,822
44,61,756
45,300,266
46,55,-293
47,-467,-499
48,-861,-587
49,-794,-522
50,-35,-273
51,784,-96
52,908,271
53,480,817
54,-231,874
55,-759,267
56,-418,-288
57,254,-274
58,361,-323
59,63,-649
60,-397,-411
61,-522,132
62,307,258
63,1051,147
64,629,-101
65,-109,-181
66,-295,164
67,-9,252
68,269,89
69,-30,329
70,-604,503
71,-760,140
72,-523,-158
73,-183,-209
74,-20,-410
75,-54,-293
76,-225,112
77,-725,-230
78,-849,-403
79,-175,501
80,-74,690
81,-418,217
82,438,633
83,1434,670
84,1024,-24
85,395,-30
86,281,-295
87,196,-970
88,493,-37
89,669,1515
90,-136,1143
91,-620,-270
92,-37,-693
93,437,-515
94,460,-597
95,227,-544
96,-83,-348
97,94,-190
98,253,253
99,-94,397
100,-51,154
101,363,711
102,146,1246
103,-638,584
104,-1009,210
105,-289,488
106,729,118
107,936,-221
108,766,135
109,409,156
110,-532,-322
111,-1060,-558
112,-653,-171
113,-177,518
114,298,382
115,660,-288
116,473,176
117,515,935
118,813,251
119,329,-636
120,-198,-558
121,20,-500
122,-92,-482
123,-561,310
124,-262,1243
125,137,1252
126,-469,510
127,-973,131
128,-150,304
129,672,-6
130,317,-502
131,274,2
132,1038,554
133,762,96
134,-384,-147
135,-600,339
136,-238,506
137,-311,160
138,-404,-162
139,-136,-44
140,258,123
141,584,-422
142,538,-637
143,86,-1
144,-149,-170
145,-8,-636
146,-22,-252
147,-169,-390
148,-96,-497
149,67,596
150,129,889
151,186,661
152,222,1596
153,5,1064
154,-297,-1306
155,-120,-1415
156,175,56
157,-159,-117
158,-388,-684
159,209,-279
160,603,176
161,355,376
162,464,276
163,608,70
164,-329,231
165,-1306,428
166,-856,368
167,-133,99
168,-553,-77
169,-1086,341
170,-754,712
171,-400,204
172,-312,-367
173,84,20
174,435,669
175,569,411
176,868,15
177,816,259
178,465,-215
179,604,-1106
180,623,-440
181,317,675
182,389,552
183,215,211
184,-190,370
185,-32,596
186,121,649
187,609,385
188,1737,157
189,1678,172
190,619,-101
191,406,-661
192,472,-930
193,181,-539
194,213,187
195,282,192
196,-14,-359
197,-138,-250
198,37,38
199,285,-112
200,845,287
201,1312,926
202,633,560
203,-568,25
204,-697,182
205,52,-41
206,569,-850
207,450,-688
208,-85,650
209,-291,1336
210,-18,760
211,220,235
212,518,243
213,422,322
214,-646,461
215,-1230,401
216,-431,-143
217,379,-449
218,547,-10
219,458,292
220,129,-78
221,-192,-92
222,-77,454
223,438,452
224,763,235
225,494,407
226,305,193
227,534,-177
228,360,-15
229,-37,15
230,240,30
231,603,846
232,310,1451
233,-247,662
234,-906,-394
235,-1386,-399
236,-941,-46
237,-312,-210
238,-604,-428
239,-743,-221
240,100,19
241,585,-53
242,291,-160
243,140,-210
244,33,-423
245,-67,-762
246,26,-1134
247,-488,-1004
248,-1181,-56
249,-980,461
250,-735,77
251,-560,-180
252,417,-381
253,1086,-560
254,776,-152
255,656,146
256,540,168
257,-404,641
258,-1060,743
259,-554,-122
260,-13,-402
261,170,522
262,534,943
263,538,371
264,339,247
265,487,504
266,198,214
267,30,28
268,657,293
269,476,79
270,-222,-668
271,-62,-977
272,-365,-665
273,-1132,-355
274,-704,-247
275,-223,-208
276,-364,-114
277,478,73
278,1450,-61
279,1143,-353
280,957,-291
281,1190,-432
282,894,-615
283,650,61
284,485,745
285,-141,394
286,-548,-518
287,-138,-1015
288,603,-559
289,462,30
290,-428,-225
291,-373,-622
292,96,-220
293,-383,592
294,-544,773
295,69,285
296,-21,17
297,-580,-166
298,-424,-369
299,200,224
300,522,639
301,332,-227
302,-12,-786
303,-40,-392
304,-23,-246
305,-211,-85
306,-31,467
307,191,509
308,-236,215
309,-354,443
310,268,537
311,668,-156
312,677,-557
313,453,-230
314,79,-320
315,-34,-570
316,-249,-60
317,-689,169
318,-281,-323
319,682,-434
320,579,-157
321,-4,147
322,528,159
323,1110,-465
324,543,-505
325,-9,-29
326,17,-771
327,314,-1360
328,822,-520
329,567,-128
330,-324,-326
331,-236,-22
332,379,193
333,241,-47
334,-199,-542
335,-326,-842
336,-289,-573
337,-185,-430
338,-57,-240
339,-159,531
340,-290,377
341,-31,-680
342,46,-402
343,-304,337
344,-398,-231
345,-418,-424
346,-390,246
347,38,43
348,44,-77
349,-194,810
350,392,1006
351,748,463
352,219,239
353,133,17
354,377,-97
355,143,-151
356,33,-646
357,71,-709
358,58,-127
359,457,180
360,395,320
361,-423,175
362,-343,-369
363,309,-351
364,76,-42
365,-324,-140
366,-204,25
367,116,356
368,416,269
369,-5,180
370,-959,92
371,-1059,-233
372,-394,-200
373,129,371
374,442,581
375,391,70
376,-183,-152
377,-946,152
378,-1162,17
379,-183,-309
380,715,-407
381,93,-847
382,-438,-1092
383,-69,-726
384,-644,-642
385,-1308,-659
386,-186,-301
387,515,-93
388,-544,65
389,-797,451
390,186,559
391,403,183
392,67,-192
393,40,-186
394,119,23
395,446,146
396,697,-5
397,514,-352
398,731,-73
399,905,784
400,44,696
401,-336,-282
402,501,-698
403,816,-641
404,563,-496
405,718,130
406,657,475
407,304,-201
408,302,-620
409,443,54
410,658,589
411,652,102
412,-145,-538
413,-772,-360
414,-370,243
415,141,191
416,186,-583
417,195,-918
418,369,-439
419,258,-165
420,-401,-210
421,-530,109
422,257,301
423,447,274
424,-68,695
425,-256,738
426,-334,61
427,-69,-60
428,751,27
429,900,-479
430,268,-605
431,95,-507
432,640,-1026
433,1147,-816
434,1006,512
435,499,1020
436,160,555
437,47,375
438,190,360
439,241,264
440,-261,216
441,-551,175
442,77,241
443,695,-94
444,271,-790
445,-761,-643
446,-1178,-122
447,-717,-106
448,-358,190
449,-278,695
450,233,723
451,611,228
452,141,-611
453,-333,-540
454,-329,404
455,-309,414
456,-196,121
457,204,436
458,441,492
459,-2,713
460,-720,842
461,-574,-164
462,252,-612
463,272,123
464,-535,162
465,-868,6
466,-692,780
467,-703,1062
468,-463,439
469,252,193
470,474,-29
471,157,-485
472,55,-208
473,-4,-281
474,-156,-1238
475,-157,-861
476,-181,36
477,-175,-713
478,-95,-883
479,-321,605
480,-566,1070
481,-383,451
482,-158,590
483,-95,824
484,75,290
485,296,28
