sample_idx,baseband_i,baseband_q
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,-1,-1
8,0,-1
9,0,-1
10,0,0
11,-1,0
12,1,-1
13,0,1
14,-2,-1
15,6,-4
16,-5,7
17,-3,-7
18,18,-4
19,-24,19
20,9,-28
21,33,9
22,-70,35
23,56,-89
24,95,20
25,-72,68
26,210,-131
27,448,-14
28,451,23
29,691,-145
30,787,-105
31,924,-187
32,1139,-234
33,1108,-169
34,1259,-235
35,1427,-206
36,1529,-221
37,1696,-219
38,1688,-142
39,1785,-215
40,1878,-203
41,1909,-233
42,2119,-304
43,2185,-244
44,2201,-309
45,2190,-308
46,2150,-264
47,2310,-307
48,2294,-269
49,2251,-319
50,2307,-322
51,2212,-275
52,2248,-320
53,2233,-267
54,2148,-326
55,2180,-383
56,2088,-318
57,2046,-351
58,1961,-271
59,1832,-248
60,1828,-299
61,1673,-215
62,1616,-241
63,1547,-194
64,1316,-125
65,1301,-157
66,1208,-100
67,1091,-147
68,1018,-115
69,758,-25
70,608,-99
71,446,-81
72,307,-70
73,224,-17
74,7,50
75,-17,-8
76,-134,59
77,-382,22
78,-450,-19
79,-625,111
80,-745,108
81,-893,177
82,-1086,217
83,-1070,164
84,-1219,223
85,-1382,195
86,-1489,212
87,-1655,209
88,-1647,133
89,-1745,205
90,-1837,193
91,-1868,224
92,-2078,293
93,-2144,233
94,-2160,300
95,-2148,298
96,-2109,253
97,-2269,296
98,-2254,259
99,-2211,309
100,-2266,312
101,-2172,265
102,-2207,310
103,-2192,257
104,-2107,316
105,-2139,373
106,-2047,308
107,-2005,340
108,-1920,260
109,-1792,237
110,-1787,288
111,-1633,205
112,-1575,230
113,-1507,184
114,-1276,116
115,-1259,147
116,-1167,90
117,-1050,136
118,-977,104
119,-717,13
120,-568,88
121,-405,71
122,-265,60
123,-184,7
124,34,-62
125,58,-3
126,175,-69
127,422,-33
128,490,8
129,666,-122
130,787,-118
131,935,-187
132,1128,-228
133,1111,-175
134,1260,-234
135,1424,-205
136,1530,-222
137,1695,-218
138,1688,-142
139,1785,-216
140,1878,-203
141,1909,-233
142,2119,-304
143,2185,-244
144,2201,-309
145,2190,-308
146,2150,-264
147,2310,-307
148,2294,-269
149,2251,-319
150,2307,-322
151,2212,-275
152,2248,-320
153,2233,-267
154,2148,-326
155,2180,-383
156,2088,-318
157,2046,-351
158,1961,-271
159,1832,-248
160,1828,-299
161,1673,-215
162,1616,-241
163,1547,-194
164,1316,-125
165,1301,-157
166,1208,-100
167,1091,-147
168,1018,-115
169,758,-25
170,608,-99
171,446,-81
172,307,-70
173,224,-17
174,7,50
175,-17,-8
176,-134,59
177,-382,22
178,-450,-19
179,-625,111
180,-745,108
181,-893,177
182,-1086,217
183,-1070,164
184,-1219,223
185,-1382,195
186,-1489,212
187,-1655,209
188,-1647,133
189,-1745,205
190,-1837,193
191,-1868,224
192,-2078,293
193,-2144,233
194,-2160,300
195,-2148,298
196,-2109,253
197,-2269,296
198,-2254,259
199,-2211,309
200,-2266,312
201,-2172,265
202,-2207,310
203,-2192,257
204,-2107,316
205,-2139,373
206,-2047,308
207,-2005,340
208,-1920,260
209,-1792,237
210,-1787,288
211,-1633,205
212,-1575,230
213,-1507,184
214,-1276,116
215,-1259,147
216,-1167,90
217,-1050,136
218,-977,104
219,-717,13
220,-568,88
221,-405,71
222,-265,60
223,-184,7
224,34,-62
225,58,-3
226,175,-69
227,422,-33
228,490,8
229,666,-122
230,787,-118
231,935,-187
232,1128,-228
233,1111,-175
234,1260,-234
235,1424,-205
236,1530,-222
237,1695,-218
238,1688,-142
239,1785,-216
240,1878,-203
241,1909,-233
242,2119,-304
243,2185,-244
244,2201,-309
245,2190,-308
246,2150,-264
247,2310,-307
248,2294,-269
249,2251,-319
250,2307,-322
251,2212,-275
252,2248,-320
253,2233,-267
254,2148,-326
255,2180,-383
256,2088,-318
257,2046,-351
258,1961,-271
259,1832,-248
260,1828,-299
261,1673,-215
262,1616,-241
263,1547,-194
264,1316,-125
265,1301,-157
266,1208,-100
267,1091,-147
268,1018,-115
269,758,-25
270,608,-99
271,446,-81
272,307,-70
273,224,-17
274,7,50
275,-17,-8
276,-134,59
277,-382,22
278,-450,-19
279,-625,111
280,-745,108
281,-893,177
282,-1086,217
283,-1070,164
284,-1219,223
285,-1382,195
286,-1489,212
287,-1655,209
288,-1647,133
289,-1745,205
290,-1837,193
291,-1868,224
292,-2078,293
293,-2144,233
294,-2160,300
295,-2148,298
296,-2109,253
297,-2269,296
298,-2254,259
299,-2211,309
300,-2266,312
301,-2172,265
302,-2207,310
303,-2192,257
304,-2107,316
305,-2139,373
306,-2047,308
307,-2005,340
308,-1920,260
309,-1792,237
310,-1787,288
311,-1633,205
312,-1575,230
313,-1507,184
314,-1276,116
315,-1259,147
316,-1167,90
317,-1050,136
318,-977,104
319,-717,13
320,-568,88
321,-405,71
322,-265,60
323,-184,7
324,34,-62
325,58,-3
326,175,-69
327,422,-33
328,490,8
329,666,-122
330,787,-118
331,935,-187
332,1128,-228
333,1111,-175
334,1260,-234
335,1424,-205
336,1530,-222
337,1695,-218
338,1688,-142
339,1785,-216
340,1878,-203
341,1909,-233
342,2119,-304
343,2185,-244
344,2201,-309
345,2190,-308
346,2150,-264
347,2310,-307
348,2294,-269
349,2251,-319
350,2307,-322
351,2212,-275
352,2248,-320
353,2233,-267
354,2148,-326
355,2180,-383
356,2088,-318
357,2046,-351
358,1961,-271
359,1832,-248
360,1828,-299
361,1673,-215
362,1616,-241
363,1547,-194
364,1316,-125
365,1301,-157
366,1208,-100
367,1091,-147
368,1018,-115
369,758,-25
370,608,-99
371,446,-81
372,307,-70
373,224,-17
374,7,50
375,-17,-8
376,-134,59
377,-382,22
378,-450,-19
379,-625,111
380,-745,108
381,-893,177
382,-1086,217
383,-1070,164
384,-1219,223
385,-1382,195
386,-1489,212
387,-1655,209
388,-1647,133
389,-1745,205
390,-1837,193
391,-1868,224
392,-2078,293
393,-2144,233
394,-2160,300
395,-2148,298
396,-2109,253
397,-2269,296
398,-2254,259
399,-2211,309
400,-2266,312
401,-2172,265
402,-2207,310
403,-2192,257
404,-2107,316
405,-2139,373
406,-2047,308
407,-2005,340
408,-1920,260
409,-1792,237
410,-1787,288
411,-1633,205
412,-1575,230
413,-1507,184
414,-1276,116
415,-1259,147
416,-1167,90
417,-1050,136
418,-977,104
419,-717,13
420,-568,88
421,-405,71
422,-265,60
423,-184,7
424,34,-62
425,58,-3
426,175,-69
427,422,-33
428,490,8
429,666,-122
430,787,-118
431,935,-187
432,1128,-228
433,1111,-175
434,1260,-234
435,1424,-205
436,1530,-222
437,1695,-218
438,1688,-142
439,1785,-216
440,1878,-203
441,1909,-233
442,2119,-304
443,2185,-244
444,2201,-309
445,2190,-308
