sample_idx,baseband_i,baseband_q
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,-1,-1
8,-1,-1
9,0,-1
10,0,-1
11,0,0
12,-1,0
13,0,-2
14,-1,0
15,-1,0
16,1,-3
17,-2,2
18,-1,0
19,4,-5
20,-5,5
21,1,-3
22,7,-7
23,-32,16
24,-5,-73
25,189,-248
26,393,-206
27,392,-47
28,274,-157
29,267,-216
30,207,173
31,1,409
32,81,68
33,376,-278
34,354,-280
35,205,-95
36,233,117
37,223,122
38,137,-29
39,73,-46
40,2,45
41,-13,150
42,0,278
43,-33,359
44,11,317
45,100,116
46,34,-110
47,-171,-228
48,-364,-289
49,-324,-246
50,77,-106
51,449,-27
52,403,87
53,134,297
54,-150,331
55,-335,88
56,-191,-98
57,80,-44
58,124,-79
59,47,-259
60,-85,-194
61,-141,16
62,185,91
63,505,117
64,320,81
65,-8,21
66,-100,74
67,-20,70
68,75,4
69,-32,102
70,-266,189
71,-333,42
72,-239,-100
73,-116,-119
74,-44,-192
75,-52,-132
76,-128,59
77,-297,-78
78,-298,-181
79,-41,155
80,-61,250
81,-210,140
82,193,343
83,613,283
84,399,-42
85,110,-9
86,66,-113
87,54,-405
88,204,-36
89,281,540
90,-50,364
91,-252,-157
92,-3,-303
93,244,-237
94,258,-248
95,102,-219
96,-35,-171
97,27,-114
98,36,108
99,-94,204
100,-25,96
101,139,290
102,67,506
103,-204,265
104,-358,119
105,-95,202
106,298,38
107,353,-74
108,274,76
109,138,68
110,-280,-112
111,-520,-214
112,-276,-127
113,-12,142
114,142,170
115,253,-75
116,185,72
117,194,374
118,323,110
119,151,-246
120,-64,-206
121,29,-196
122,-5,-214
123,-199,104
124,-99,479
125,24,483
126,-219,183
127,-369,4
128,-37,83
129,240,27
130,99,-148
131,121,13
132,422,222
133,296,72
134,-158,-3
135,-284,151
136,-170,147
137,-140,2
138,-125,-105
139,-25,-73
140,133,9
141,261,-185
142,218,-321
143,40,-90
144,-46,-92
145,-6,-224
146,-4,-63
147,-53,-144
148,-59,-225
149,18,215
150,129,357
151,174,246
152,115,581
153,-31,348
154,-140,-584
155,-38,-571
156,69,36
157,-77,-81
158,-146,-318
159,97,-111
160,248,70
161,184,115
162,232,77
163,220,-5
164,-167,31
165,-480,111
166,-282,101
167,-25,-14
168,-160,-67
169,-349,125
170,-259,272
171,-125,78
172,-64,-142
173,66,3
174,163,270
175,245,178
176,422,18
177,374,131
178,153,-55
179,195,-440
180,227,-170
181,112,319
182,153,277
183,102,105
184,-56,134
185,-22,202
186,-5,245
187,217,191
188,741,91
189,704,39
190,209,-78
191,128,-265
192,223,-358
193,134,-236
194,98,7
195,67,14
196,-49,-158
197,-45,-91
198,60,24
199,127,-32
200,302,137
201,497,400
202,254,252
203,-224,45
204,-278,116
205,9,0
206,195,-359
207,165,-303
208,-10,246
209,-94,560
210,-7,355
211,99,118
212,246,110
213,202,171
214,-237,224
215,-447,178
216,-113,-42
217,155,-188
218,159,-59
219,147,63
220,68,-38
221,-82,-34
222,-64,158
223,163,170
224,288,108
225,143,173
226,65,83
227,170,-82
228,103,-37
229,-47,5
230,70,41
231,225,344
232,131,560
233,-89,236
234,-365,-192
235,-553,-166
236,-380,19
237,-131,-46
238,-219,-162
239,-249,-94
240,75,1
241,243,-43
242,113,-105
243,38,-101
244,-32,-143
245,-53,-278
246,52,-461
247,-156,-423
248,-507,-32
249,-438,182
250,-276,15
251,-186,-92
252,147,-155
253,389,-225
254,312,-77
255,282,37
256,220,24
257,-138,180
258,-395,226
259,-205,-80
260,41,-156
261,129,225
262,240,366
263,212,105
264,114,68
265,160,196
266,45,54
267,-31,-48
268,228,93
269,196,31
270,-74,-273
271,-16,-348
272,-93,-191
273,-361,-127
274,-225,-130
275,-91,-117
276,-164,-76
277,176,52
278,541,39
279,402,-123
280,360,-121
281,472,-150
282,328,-244
283,225,1
284,177,290
285,-57,147
286,-202,-218
287,-56,-385
288,202,-201
289,145,8
290,-211,-99
291,-194,-246
292,45,-85
293,-92,227
294,-168,308
295,43,124
296,-15,-36
297,-253,-151
298,-201,-181
299,62,84
300,221,220
301,137,-110
302,-18,-310
303,11,-180
304,50,-116
305,-60,-27
306,-11,159
307,103,163
308,-60,84
309,-117,176
310,158,198
311,339,-62
312,314,-214
313,212,-118
314,69,-186
315,-19,-270
316,-134,-56
317,-273,10
318,-99,-162
319,247,-138
320,206,-32
321,31,7
322,274,-31
323,469,-227
324,218,-172
325,15,21
326,22,-295
327,131,-537
328,354,-229
329,257,-94
330,-118,-153
331,-92,-11
332,147,70
333,71,-21
334,-114,-198
335,-140,-324
336,-104,-232
337,-79,-164
338,-41,-76
339,-72,233
340,-105,159
341,27,-315
342,67,-245
343,-93,79
344,-148,-92
345,-173,-150
346,-159,93
347,46,-10
348,56,-55
349,-61,301
350,171,397
351,316,207
352,75,107
353,17,-9
354,137,-91
355,56,-119
356,13,-237
357,137,-280
358,325,-213
359,598,-124
360,572,-12
361,223,-115
362,263,-355
363,523,-307
364,403,-180
365,232,-229
366,274,-171
367,395,-51
368,544,-52
369,410,-28
370,23,-77
371,-33,-265
372,223,-251
373,421,-23
374,552,8
375,531,-212
376,273,-270
377,-39,-133
378,-94,-179
379,311,-287
380,654,-318
381,397,-528
382,202,-676
383,348,-559
384,73,-509
385,-215,-467
386,261,-332
387,551,-315
388,107,-267
389,3,-66
390,404,-18
391,491,-218
392,334,-390
393,287,-376
394,330,-280
395,507,-234
396,596,-316
397,489,-459
398,588,-344
399,650,-40
400,255,-109
401,68,-468
402,378,-594
403,504,-595
404,443,-580
405,507,-340
406,460,-209
407,328,-476
408,305,-617
409,316,-341
410,412,-162
411,431,-391
412,114,-644
413,-118,-578
414,29,-361
415,179,-352
416,200,-616
417,238,-776
418,270,-631
419,148,-518
420,-152,-509
421,-208,-372
422,94,-301
423,164,-338
424,-4,-197
425,-54,-175
426,-117,-421
427,-22,-437
428,332,-419
429,358,-701
430,26,-761
431,-61,-658
432,181,-867
433,397,-808
434,336,-249
435,72,-49
436,-119,-292
437,-132,-396
438,-46,-400
439,-48,-419
440,-273,-397
441,-433,-397
442,-241,-376
443,3,-487
444,-119,-741
445,-531,-680
446,-744,-495
447,-585,-513
448,-474,-363
449,-494,-111
450,-303,-93
451,-128,-303
452,-299,-624
453,-491,-550
454,-494,-144
455,-477,-148
456,-428,-264
457,-307,-93
458,-270,-23
459,-470,42
460,-761,56
461,-695,-318
462,-362,-439
463,-395,-114
464,-719,-101
465,-789,-157
466,-715,191
467,-752,340
468,-631,105
469,-329,-3
470,-281,-79
471,-440,-221
472,-449,-105
473,-415,-132
474,-457,-486
475,-472,-301
476,-477,113
477,-440,-149
478,-396,-230
479,-504,358
480,-591,581
481,-467,368
482,-333,432
483,-316,558
484,-267,388
