bin,range_profile_i,range_profile_q
0,32,0
1,32,-1
2,32,-1
3,32,-1
4,32,-1
5,32,-1
6,32,-1
7,32,-1
8,32,-1
9,32,-1
10,32,-1
11,32,-1
12,32,-1
13,32,-1
14,32,-1
15,32,-1
16,32,-1
17,32,-1
18,32,-1
19,32,-1
20,32,-1
21,32,-1
22,32,-1
23,32,-1
24,32,-1
25,32,-1
26,32,-1
27,32,-1
28,32,-1
29,32,-1
30,32,-1
31,32,-1
32,32,-1
33,32,-1
34,32,-1
35,32,-1
36,32,-1
37,32,-1
38,32,-1
39,32,-1
40,32,-1
41,32,-1
42,32,-1
43,32,-1
44,32,0
45,32,-1
46,32,-1
47,32,-1
48,32,0
49,32,-1
50,32,-1
51,32,-1
52,32,0
53,32,-1
54,32,-1
55,32,-1
56,32,0
57,32,-1
58,32,-1
59,32,-1
60,32,0
61,32,-1
62,32,0
63,32,-1
64,32,0
65,32,-1
66,32,-1
67,32,-1
68,32,0
69,32,-1
70,32,-1
71,32,-1
72,32,0
73,32,-1
74,32,-1
75,32,-1
76,32,0
77,32,-1
78,32,-1
79,32,-1
80,32,0
81,32,-1
82,32,-1
83,32,-1
84,32,-1
85,32,-1
86,32,-1
87,32,-1
88,32,0
89,32,-1
90,32,-1
91,32,-1
92,32,0
93,32,-1
94,32,0
95,32,-1
96,32,0
97,32,-1
98,32,-1
99,32,-1
100,32,0
101,32,-1
102,32,-1
103,32,-1
104,32,0
105,32,-1
106,32,-1
107,32,-1
108,32,0
109,32,-1
110,32,-1
111,32,-1
112,32,0
113,32,-1
114,32,-1
115,32,-1
116,32,0
117,32,-1
118,32,-1
119,32,-1
120,32,0
121,32,-1
122,32,-1
123,32,-1
124,32,0
125,32,-1
126,32,-1
127,32,-1
128,32,0
129,32,0
130,32,0
131,31,-1
132,32,0
133,31,-1
134,32,-1
135,31,0
136,32,0
137,31,0
138,32,-1
139,31,-1
140,32,0
141,31,-1
142,32,-1
143,31,-1
144,32,0
145,31,-1
146,32,-1
147,31,-1
148,32,-1
149,31,-1
150,32,-1
151,31,-1
152,32,0
153,31,-1
154,32,-1
155,31,-1
156,32,-1
157,31,-1
158,32,-1
159,31,-1
160,32,0
161,31,-1
162,32,-1
163,31,-1
164,32,0
165,31,-1
166,32,-1
167,31,-1
168,31,0
169,31,0
170,32,-1
171,31,-1
172,32,0
173,31,-1
174,32,-1
175,31,-1
176,32,0
177,31,-1
178,31,-1
179,31,-1
180,32,-1
181,31,-1
182,32,-1
183,31,-1
184,32,0
185,31,-1
186,31,-1
187,31,-1
188,32,-1
189,31,-1
190,32,-1
191,31,-1
192,31,0
193,31,0
194,31,-1
195,31,0
196,31,0
197,31,-1
198,31,-1
199,31,0
200,31,0
201,31,0
202,31,-1
203,31,0
204,31,0
205,31,0
206,31,-1
207,31,0
208,31,0
209,31,0
210,31,-1
211,31,-1
212,31,-1
213,31,0
214,31,-1
215,31,0
216,31,0
217,31,0
218,31,-1
219,31,-1
220,31,-1
221,31,-1
222,31,-1
223,31,-1
224,31,0
225,31,0
226,31,-1
227,31,0
228,31,-1
229,31,0
230,31,-1
231,31,0
232,31,0
233,31,0
234,31,-1
235,31,0
236,31,-1
237,31,0
238,31,-1
239,31,-1
240,31,0
241,31,-1
242,31,-1
243,31,-1
244,31,-1
245,31,-1
246,31,-1
247,31,-1
248,31,-1
249,31,0
250,31,-1
251,31,0
252,31,-1
253,31,0
254,31,-1
255,31,-1
256,31,0
257,31,0
258,31,0
259,31,0
260,31,0
261,31,0
262,31,-1
263,31,0
264,31,0
265,31,0
266,31,-1
267,31,0
268,31,0
269,31,0
270,31,-1
271,31,0
272,31,0
273,31,0
274,31,0
275,31,0
276,31,0
277,31,0
278,31,-1
279,31,0
280,31,0
281,31,0
282,31,0
283,31,0
284,31,-1
285,31,0
286,31,-1
287,31,0
288,31,0
289,31,0
290,31,0
291,31,0
292,31,0
293,31,0
294,31,-1
295,31,0
296,31,0
297,31,0
298,31,-1
299,31,0
300,31,-1
301,31,0
302,31,-1
303,31,0
304,31,0
305,31,0
306,31,-1
307,31,0
308,31,-1
309,31,0
310,31,-1
311,31,0
312,31,0
313,31,0
314,31,-1
315,31,0
316,31,-1
317,31,0
318,31,-1
319,31,0
320,31,0
321,31,0
322,31,0
323,31,0
324,31,0
325,31,0
326,31,-1
327,31,0
328,31,0
329,31,0
330,31,-1
331,31,0
332,31,0
333,31,0
334,31,-1
335,31,0
336,31,0
337,31,0
338,31,0
339,31,-1
340,31,-1
341,31,-1
342,31,-1
343,31,0
344,31,0
345,31,0
346,31,-1
347,31,0
348,31,-1
349,31,0
350,31,-1
351,31,0
352,31,0
353,31,0
354,31,0
355,31,0
356,31,0
357,31,-1
358,31,-1
359,31,-1
360,31,0
361,31,0
362,31,-1
363,31,0
364,31,0
365,31,0
366,31,-1
367,31,-1
368,31,0
369,31,0
370,31,-1
371,31,0
372,31,-1
373,31,-1
374,31,-1
375,31,-1
376,31,0
377,31,0
378,31,-1
379,31,0
380,31,-1
381,31,0
382,31,-1
383,31,-1
384,31,0
385,31,0
386,31,0
387,31,0
388,31,0
389,31,0
390,31,0
391,31,-1
