cycle,range_bin,doppler_bin,output_hex
1035995000,0,0,0024ffdd
1036005000,0,1,fff7002d
1036015000,0,2,007d0098
1036025000,0,3,ff1afe23
1036035000,0,4,00130108
1036045000,0,5,ff530243
1036055000,0,6,0274fb9d
1036065000,0,7,fee40370
1036075000,0,8,fe98ff6f
1036085000,0,9,ff8bffa9
1036095000,0,10,03dffdd0
1036105000,0,11,fe3c042d
1036115000,0,12,fdddfcc0
1036125000,0,13,00ff00cb
1036135000,0,14,015400f7
1036145000,0,15,ff22ff4c
1038025000,0,16,ffedfff1
1038035000,0,17,00880078
1038045000,0,18,fe31ffb7
1038055000,0,19,026c00de
1038065000,0,20,fd2afd6f
1038075000,0,21,0293ffc3
1038085000,0,22,fef10677
1038095000,0,23,ff6efadf
1038105000,0,24,008900ad
1038115000,0,25,017a0014
1038125000,0,26,fdc301a1
1038135000,0,27,020cff8e
1038145000,0,28,fce0ffbb
1038155000,0,29,025f00b1
1038165000,0,30,fe73fff1
1038175000,0,31,008effbd
1040055000,1,0,ffcd0030
1040065000,1,1,009d0057
1040075000,1,2,fecbff41
1040085000,1,3,0110007a
1040095000,1,4,0148ff8e
1040105000,1,5,fd2e0229
1040115000,1,6,ffe5fd1c
1040125000,1,7,0483ffb6
1040135000,1,8,fb2f02ce
1040145000,1,9,02110069
1040155000,1,10,0095fb47
1040165000,1,11,ffd003b8
1040175000,1,12,fdfcfdac
1040185000,1,13,011801c3
1040195000,1,14,0023003c
1040205000,1,15,0001ff54
1042085000,1,16,004fffd0
1042095000,1,17,0078fee5
1042105000,1,18,fed201e1
1042115000,1,19,0097fe5a
1042125000,1,20,00ab0130
1042135000,1,21,ff73febb
1042145000,1,22,00f301a4
1042155000,1,23,fea60124
1042165000,1,24,fe03fe84
1042175000,1,25,0184fea7
1042185000,1,26,ff1cffeb
1042195000,1,27,03210146
1042205000,1,28,fc5fff84
1042215000,1,29,017d0025
1042225000,1,30,0053ff88
1042235000,1,31,fef600b0
1044115000,2,0,00260082
1044125000,2,1,ff99ff96
1044135000,2,2,016e0095
1044145000,2,3,0034ff2d
1044155000,2,4,fce100d7
1044165000,2,5,0276ff6c
1044175000,2,6,00a0ffaa
1044185000,2,7,fdc400b8
1044195000,2,8,01dcffc4
1044205000,2,9,fe1901ae
1044215000,2,10,0304fcf3
1044225000,2,11,fe240203
1044235000,2,12,0031fe2f
1044245000,2,13,fefc0150
1044255000,2,14,0182006a
1044265000,2,15,ff18ff30
1046145000,2,16,005bff79
1046155000,2,17,0004ffcc
1046165000,2,18,fef70100
1046175000,2,19,0136fe70
1046185000,2,20,ffb80156
1046195000,2,21,01b1feff
1046205000,2,22,fdac03d6
1046215000,2,23,fdfafa69
1046225000,2,24,0289032f
1046235000,2,25,feacfecc
1046245000,2,26,004dffb2
1046255000,2,27,00d60062
1046265000,2,28,fee0fe8e
1046275000,2,29,020f0245
1046285000,2,30,fda4feac
1046295000,2,31,006a0079
1048175000,3,0,ffe10086
1048185000,3,1,0026ffcd
1048195000,3,2,00990030
1048205000,3,3,ffe4ff8a
1048215000,3,4,fe7100c5
1048225000,3,5,0179ffc6
1048235000,3,6,ff2ffd5e
1048245000,3,7,01ed0473
1048255000,3,8,fbd9fdf4
1048265000,3,9,037800d1
1048275000,3,10,0033fe0a
1048285000,3,11,ff4202c0
1048295000,3,12,ffa5fc5d
1048305000,3,13,ffa90298
1048315000,3,14,00950004
1048325000,3,15,ffcdff0f
1050205000,3,16,00fdffc2
1050215000,3,17,ff790028
1050225000,3,18,ffa70037
1050235000,3,19,ff03000a
1050245000,3,20,015cfe75
1050255000,3,21,00850151
1050265000,3,22,fe83fec3
1050275000,3,23,029e02b0
1050285000,3,24,f995fb6c
1050295000,3,25,072302fc
1050305000,3,26,fd0dfef3
1050315000,3,27,006300bc
1050325000,3,28,ff8efe5d
1050335000,3,29,00ef0193
1050345000,3,30,ff8dffbb
1050355000,3,31,ff0cffba
1052235000,4,0,ffcb0066
1052245000,4,1,0050fffb
1052255000,4,2,ffe0fed3
1052265000,4,3,ffa40100
1052275000,4,4,00b60022
