input_n,adc_data,bb_i,bb_q,bb_valid_i
36,33,0,0,1
37,186,0,0,1
38,186,0,0,1
39,33,0,0,1
40,128,0,0,1
41,223,0,0,1
42,70,0,0,1
43,70,0,0,1
44,223,0,0,1
45,128,0,0,1
46,33,0,0,1
47,186,0,0,1
48,186,0,0,1
49,33,0,0,1
50,128,0,0,1
51,223,0,0,1
52,70,0,0,1
53,70,0,0,1
54,223,0,0,1
55,128,0,0,1
56,33,0,0,1
57,186,0,0,1
58,186,0,0,1
59,33,0,0,1
60,128,0,0,1
61,223,0,0,1
62,70,0,0,1
63,70,0,0,1
64,223,0,0,1
65,128,0,0,1
66,33,0,0,1
67,186,0,0,1
68,186,-1,0,1
69,33,-1,0,1
70,128,-1,0,1
71,223,-1,0,1
72,70,0,0,1
73,70,0,0,1
74,223,0,0,1
75,128,0,0,1
76,33,6,6,1
77,186,6,6,1
78,186,6,6,1
79,33,6,6,1
80,128,13,13,1
81,223,13,13,1
82,70,13,13,1
83,70,13,13,1
84,223,11,-3,1
85,128,11,-3,1
86,33,11,-3,1
87,186,11,-3,1
88,186,12,5,1
89,33,12,5,1
90,128,12,5,1
91,223,12,5,1
92,70,9,33,1
93,70,9,33,1
94,223,9,33,1
95,128,9,33,1
96,33,19,-38,1
97,186,19,-38,1
98,186,19,-38,1
99,33,19,-38,1
100,128,4,22,1
101,223,4,22,1
102,70,4,22,1
103,70,4,22,1
104,223,4,74,1
105,128,4,74,1
106,33,4,74,1
107,186,4,74,1
108,186,51,-137,1
109,33,51,-137,1
110,128,51,-137,1
111,223,51,-137,1
112,70,-42,111,1
113,70,-42,111,1
114,223,-42,111,1
115,128,-42,111,1
116,33,21,103,1
117,186,21,103,1
118,186,21,103,1
119,33,21,103,1
120,128,103,-340,1
121,223,103,-340,1
122,70,103,-340,1
123,70,103,-340,1
124,223,-146,403,1
125,128,-146,403,1
126,33,-146,403,1
127,186,-146,403,1
128,186,74,-39,1
129,33,74,-39,1
130,128,74,-39,1
131,223,74,-39,1
132,70,400,-496,1
133,70,400,-496,1
134,223,400,-496,1
135,128,400,-496,1
136,33,2992,4917,1
137,186,2992,4917,1
138,186,2992,4917,1
139,33,2992,4917,1
140,128,11193,10429,1
141,223,11193,10429,1
142,70,11193,10429,1
143,70,11193,10429,1
144,223,17819,9937,1
145,128,17819,9937,1
146,33,17819,9937,1
147,186,17819,9937,1
148,186,17301,9416,1
149,33,17301,9416,1
150,128,17301,9416,1
151,223,17301,9416,1
152,70,16596,10224,1
153,70,16596,10224,1
154,223,16596,10224,1
155,128,16596,10224,1
156,33,17535,9750,1
157,186,17535,9750,1
158,186,17535,9750,1
159,33,17535,9750,1
160,128,17038,9758,1
161,223,17038,9758,1
162,70,17038,9758,1
163,70,17038,9758,1
164,223,16977,10012,1
165,128,16977,10012,1
166,33,16977,10012,1
167,186,16977,10012,1
168,186,17303,9784,1
169,33,17303,9784,1
170,128,17303,9784,1
171,223,17303,9784,1
172,70,17047,9846,1
173,70,17047,9846,1
174,223,17047,9846,1
175,128,17047,9846,1
176,33,17119,9885,1
177,186,17119,9885,1
178,186,17119,9885,1
179,33,17119,9885,1
180,128,17164,9849,1
181,223,17164,9849,1
182,70,17164,9849,1
183,70,17164,9849,1
184,223,17096,9861,1
185,128,17096,9861,1
186,33,17096,9861,1
187,186,17096,9861,1
188,186,17130,9862,1
189,33,17130,9862,1
190,128,17130,9862,1
191,223,17130,9862,1
192,70,17129,9859,1
193,70,17129,9859,1
194,223,17129,9859,1
195,128,17129,9859,1
196,33,17141,9837,1
197,186,17141,9837,1
198,186,17141,9837,1
199,33,17141,9837,1
200,128,17108,9884,1
201,223,17108,9884,1
202,70,17108,9884,1
203,70,17108,9884,1
204,223,17140,9868,1
205,128,17140,9868,1
206,33,17140,9868,1
207,186,17140,9868,1
208,186,17142,9858,1
209,33,17142,9858,1
210,128,17142,9858,1
211,223,17142,9858,1
212,70,17128,9873,1
213,70,17128,9873,1
214,223,17128,9873,1
215,128,17128,9873,1
216,33,17162,9843,1
217,186,17162,9843,1
218,186,17162,9843,1
219,33,17162,9843,1
220,128,17117,9884,1
221,223,17117,9884,1
222,70,17117,9884,1
223,70,17117,9884,1
224,223,17141,9868,1
225,128,17141,9868,1
226,33,17141,9868,1
227,186,17141,9868,1
228,186,17142,9858,1
229,33,17142,9858,1
230,128,17142,9858,1
231,223,17142,9858,1
232,70,17128,9873,1
233,70,17128,9873,1
234,223,17128,9873,1
235,128,17128,9873,1
236,33,17162,9843,1
237,186,17162,9843,1
238,186,17162,9843,1
239,33,17162,9843,1
240,128,17117,9884,1
241,223,17117,9884,1
242,70,17117,9884,1
243,70,17117,9884,1
244,223,17141,9868,1
245,128,17141,9868,1
246,33,17141,9868,1
247,186,17141,9868,1
248,186,17142,9858,1
249,33,17142,9858,1
250,128,17142,9858,1
251,223,17142,9858,1
252,70,17128,9873,1
253,70,17128,9873,1
254,223,17128,9873,1
255,128,17128,9873,1
256,33,17162,9843,1
257,186,17162,9843,1
258,186,17162,9843,1
259,33,17162,9843,1
260,128,17117,9884,1
261,223,17117,9884,1
262,70,17117,9884,1
263,70,17117,9884,1
264,223,17141,9868,1
265,128,17141,9868,1
266,33,17141,9868,1
267,186,17141,9868,1
268,186,17142,9858,1
269,33,17142,9858,1
270,128,17142,9858,1
271,223,17142,9858,1
272,70,17128,9873,1
273,70,17128,9873,1
274,223,17128,9873,1
275,128,17128,9873,1
276,33,17162,9843,1
277,186,17162,9843,1
278,186,17162,9843,1
279,33,17162,9843,1
280,128,17117,9884,1
281,223,17117,9884,1
282,70,17117,9884,1
283,70,17117,9884,1
284,223,17141,9868,1
285,128,17141,9868,1
286,33,17141,9868,1
287,186,17141,9868,1
288,186,17142,9858,1
289,33,17142,9858,1
290,128,17142,9858,1
291,223,17142,9858,1
292,70,17128,9873,1
293,70,17128,9873,1
294,223,17128,9873,1
295,128,17128,9873,1
296,33,17162,9843,1
297,186,17162,9843,1
298,186,17162,9843,1
299,33,17162,9843,1
300,128,17117,9884,1
301,223,17117,9884,1
302,70,17117,9884,1
303,70,17117,9884,1
304,223,17141,9868,1
305,128,17141,9868,1
306,33,17141,9868,1
307,186,17141,9868,1
308,186,17142,9858,1
309,33,17142,9858,1
310,128,17142,9858,1
311,223,17142,9858,1
312,70,17128,9873,1
313,70,17128,9873,1
314,223,17128,9873,1
315,128,17128,9873,1
316,33,17162,9843,1
317,186,17162,9843,1
318,186,17162,9843,1
319,33,17162,9843,1
320,128,17117,9884,1
321,223,17117,9884,1
322,70,17117,9884,1
323,70,17117,9884,1
324,223,17141,9868,1
325,128,17141,9868,1
326,33,17141,9868,1
327,186,17141,9868,1
328,186,17142,9858,1
329,33,17142,9858,1
