sample,data_out
0,6
1,14
2,-10
3,16
4,24
5,-47
6,54
7,29
8,-120
9,160
10,-12
11,-245
12,460
13,-289
14,-576
15,4423
16,9423
17,9136
18,8387
19,9092
20,8859
21,8687
22,8967
23,8818
24,8793
25,8894
26,8823
27,8831
28,8857
29,8833
30,8841
31,8847
32,8847
33,8847
34,8847
35,8847
36,8847
37,8847
38,8847
39,8847
40,8847
41,8847
42,8847
43,8847
44,8847
45,8847
46,8847
47,8847
48,8847
49,8847
50,8847
51,8847
52,8847
53,8847
54,8847
55,8847
56,8847
57,8847
58,8847
59,8847
60,8847
61,8847
62,8847
63,8847
64,8847
65,8847
66,8847
67,8847
68,8847
69,8847
70,8847
71,8847
72,8847
73,8847
74,8847
75,8847
76,8847
77,8847
78,8847
79,8847
80,8847
81,8847
82,8847
83,8847
84,8847
85,8847
86,8847
87,8847
88,8847
89,8847
90,8847
91,8847
92,8847
93,8847
94,8847
