sample,data_in,data_out
5,3090,0
6,3681,0
7,4257,0
8,4817,2
9,5358,1
10,5877,3
11,6374,6
12,6845,0
13,7289,7
14,7705,11
15,8090,-5
16,8443,15
17,8763,14
18,9048,-17
19,9297,40
20,9510,4
21,9685,-69
22,9822,486
23,9921,1667
24,9980,2806
25,10000,3839
26,9980,4947
27,9921,6006
28,9822,7018
29,9685,8038
30,9510,9008
31,9297,9939
32,9048,10844
33,8763,11697
34,8443,12505
35,8090,13267
36,7705,13974
37,7289,14626
38,6845,15221
39,6374,15756
40,5877,16229
41,5358,16637
42,4817,16981
43,4257,17257
44,3681,17465
45,3090,17605
46,2486,17675
47,1873,17675
48,1253,17605
49,627,17465
50,0,17257
51,-627,16981
52,-1253,16637
53,-1873,16229
54,-2486,15756
55,-3090,15221
56,-3681,14626
57,-4257,13973
58,-4817,13264
59,-5358,12503
60,-5877,11694
61,-6374,10838
62,-6845,9939
63,-7289,9001
64,-7705,8027
65,-8090,7022
66,-8443,5990
67,-8763,4932
68,-9048,3856
69,-9297,2765
70,-9510,1663
71,-9685,554
72,-9822,-555
73,-9921,-1664
74,-9980,-2766
75,-10000,-3857
76,-9980,-4933
77,-9921,-5991
78,-9822,-7023
79,-9685,-8028
80,-9510,-9002
81,-9297,-9940
82,-9048,-10839
83,-8763,-11695
84,-8443,-12504
85,-8090,-13265
86,-7705,-13974
87,-7289,-14627
88,-6845,-15222
89,-6374,-15757
90,-5877,-16230
91,-5358,-16638
92,-4817,-16982
93,-4257,-17258
94,-3681,-17466
95,-3090,-17606
96,-2486,-17676
97,-1873,-17676
98,-1253,-17606
99,-627,-17466
100,0,-17258
101,627,-16982
102,1253,-16638
103,1873,-16230
104,2486,-15757
105,3090,-15222
106,3681,-14627
107,4257,-13974
108,4817,-13265
109,5358,-12504
110,5877,-11695
111,6374,-10839
112,6845,-9940
113,7289,-9002
114,7705,-8028
115,8090,-7023
116,8443,-5991
117,8763,-4933
118,9048,-3857
119,9297,-2766
120,9510,-1664
121,9685,-555
122,9822,554
123,9921,1663
124,9980,2765
125,10000,3856
126,9980,4932
127,9921,5990
128,9822,7022
129,9685,8027
130,9510,9001
131,9297,9939
132,9048,10838
133,8763,11694
134,8443,12503
135,8090,13264
136,7705,13973
137,7289,14626
138,6845,15221
139,6374,15756
140,5877,16229
141,5358,16637
142,4817,16981
143,4257,17257
144,3681,17465
145,3090,17605
146,2486,17675
147,1873,17675
148,1253,17605
149,627,17465
150,0,17257
151,-627,16981
152,-1253,16637
153,-1873,16229
154,-2486,15756
155,-3090,15221
156,-3681,14626
157,-4257,13973
158,-4817,13264
159,-5358,12503
160,-5877,11694
161,-6374,10838
162,-6845,9939
163,-7289,9001
164,-7705,8027
165,-8090,7022
166,-8443,5990
167,-8763,4932
168,-9048,3856
169,-9297,2765
170,-9510,1663
171,-9685,554
172,-9822,-555
173,-9921,-1664
174,-9980,-2766
175,-9999,-3857
176,-9980,-4933
177,-9921,-5991
178,-9822,-7023
179,-9685,-8028
180,-9510,-9002
181,-9297,-9940
182,-9048,-10839
183,-8763,-11695
184,-8443,-12504
185,-8090,-13265
186,-7705,-13974
187,-7289,-14627
188,-6845,-15222
189,-6374,-15757
190,-5877,-16230
191,-5358,-16638
192,-4817,-16982
193,-4257,-17258
194,-3681,-17467
195,-3090,-17607
196,-2486,-17675
197,-1873,-17675
198,-1253,-17607
199,-627,-17467
200,0,-17258
201,627,-16982
202,1253,-16638
203,1873,-16230
204,2486,-15757
205,3090,-15222
206,3681,-14627
207,4257,-13974
208,4817,-13265
209,5358,-12504
210,5877,-11695
211,6374,-10839
212,6845,-9940
213,7289,-9002
214,7705,-8028
215,8090,-7023
216,8443,-5991
217,8763,-4933
218,9048,-3857
219,9297,-2766
220,9510,-1664
221,9685,-555
222,9822,554
223,9921,1663
224,9980,2765
225,9999,3856
226,9980,4932
227,9921,5990
228,9822,7022
229,9685,8027
230,9510,9001
231,9297,9939
232,9048,10838
233,8763,11694
234,8443,12503
235,8090,13264
236,7705,13973
237,7289,14626
238,6845,15221
239,6374,15756
240,5877,16229
241,5358,16637
242,4817,16981
243,4257,17257
244,3681,17466
245,3090,17606
246,2486,17674
247,1873,17674
248,1253,17606
249,627,17466
250,0,17257
251,-627,16981
252,-1253,16637
253,-1873,16229
254,-2486,15756
255,-3090,15221
256,-3681,14626
257,-4257,13973
258,-4817,13264
259,-5358,12503
260,-5877,11694
261,-6374,10838
262,-6845,9939
263,-7289,9001
264,-7705,8027
265,-8090,7022
266,-8443,5990
267,-8763,4932
268,-9048,3856
269,-9297,2765
270,-9510,1663
271,-9685,554
272,-9822,-555
273,-9921,-1664
274,-9980,-2766
275,-9999,-3857
276,-9980,-4933
277,-9921,-5991
278,-9822,-7023
279,-9685,-8028
280,-9510,-9002
281,-9297,-9940
282,-9048,-10839
283,-8763,-11695
284,-8443,-12504
285,-8090,-13265
286,-7705,-13974
287,-7289,-14627
288,-6845,-15222
289,-6374,-15757
290,-5877,-16230
291,-5358,-16638
292,-4817,-16982
293,-4257,-17258
294,-3681,-17467
