sample,sin_out,cos_out,dds_ready
0,0,32767,0
1,0,32767,0
2,0,32767,0
3,0,32757,0
4,0,32757,1
5,804,32728,1
6,804,32728,1
7,1608,32678,1
8,2410,32609,1
9,2410,32609,1
10,3212,32521,1
11,4011,32412,1
12,4011,32412,1
13,4808,32285,1
14,5602,32137,1
15,5602,32137,1
16,6393,31971,1
17,6393,31971,1
18,7179,31785,1
19,7962,31580,1
20,7962,31580,1
21,8739,31356,1
22,9512,31113,1
23,9512,31113,1
24,10278,30852,1
25,11039,30571,1
26,11039,30571,1
27,11793,30273,1
28,11793,30273,1
29,12539,29956,1
30,13279,29621,1
31,13279,29621,1
32,14010,29268,1
33,14732,28898,1
34,14732,28898,1
35,15446,28510,1
36,16151,28105,1
37,16151,28105,1
38,16846,27683,1
39,17530,27245,1
40,17530,27245,1
41,18204,26790,1
42,18204,26790,1
43,18868,26319,1
44,19519,25832,1
45,19519,25832,1
46,20159,25329,1
47,20787,24811,1
48,20787,24811,1
49,21403,24279,1
50,22005,23731,1
51,22005,23731,1
52,22594,23170,1
53,22594,23170,1
54,23170,22594,1
55,23731,22005,1
56,23731,22005,1
57,24279,21403,1
58,24811,20787,1
59,24811,20787,1
60,25329,20159,1
61,25832,19519,1
62,25832,19519,1
63,26319,18868,1
64,26790,18204,1
65,26790,18204,1
66,27245,17530,1
67,27245,17530,1
68,27683,16846,1
69,28105,16151,1
70,28105,16151,1
71,28510,15446,1
72,28898,14732,1
73,28898,14732,1
74,29268,14010,1
75,29621,13279,1
76,29621,13279,1
77,29956,12539,1
78,29956,12539,1
79,30273,11793,1
80,30571,11039,1
81,30571,11039,1
82,30852,10278,1
83,31113,9512,1
84,31113,9512,1
85,31356,8739,1
86,31580,7962,1
87,31580,7962,1
88,31785,7179,1
89,31971,6393,1
90,31971,6393,1
91,32137,5602,1
92,32137,5602,1
93,32285,4808,1
94,32412,4011,1
95,32412,4011,1
96,32521,3212,1
97,32609,2410,1
98,32609,2410,1
99,32678,1608,1
100,32728,804,1
101,32728,804,1
102,32757,0,1
103,32757,0,1
104,32757,0,1
105,32728,-804,1
106,32728,-804,1
107,32678,-1608,1
108,32609,-2410,1
109,32609,-2410,1
110,32521,-3212,1
111,32412,-4011,1
